"",BBK01.CEL80I,BBK01.CEL80I_FLAGS
"",Money market fund shares debtor: Total                                             creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:29,
1999-01,2.9,
1999-04,2.0,
1999-07,1.8,
1999-10,-2.9,
2000-01,3.5,
2000-04,-2.5,
2000-07,-1.9,
2000-10,-1.4,
2001-01,4.7,
2001-04,1.7,
2001-07,4.6,
2001-10,1.6,
2002-01,3.3,
2002-04,0.7,
2002-07,3.5,
2002-10,0.4,
2003-01,7.6,
2003-04,-0.1,
2003-07,-2.0,
2003-10,-1.2,
2004-01,-1.2,
2004-04,0.3,
2004-07,-2.5,
2004-10,-6.6,
2005-01,0.9,
2005-04,0.4,
2005-07,-0.2,
2005-10,-1.7,
2006-01,0.4,
2006-04,2.3,
2006-07,-0.8,
2006-10,1.1,
2007-01,5.6,
2007-04,6.5,
2007-07,-3.8,
2007-10,1.7,
2008-01,4.0,
2008-04,-4.0,
2008-07,-2.9,
2008-10,-14.9,
2009-01,-0.6,
2009-04,1.2,
2009-07,-2.9,
2009-10,-3.4,
2010-01,0.9,
2010-04,-3.6,
2010-07,0.8,
2010-10,0.5,
2011-01,0.4,
2011-04,-1.3,
2011-07,0.8,
2011-10,-0.2,
2012-01,1.1,
2012-04,-2.0,
2012-07,0.6,
2012-10,0.9,
2013-01,-0.3,
2013-04,-0.2,
2013-07,0.0,
2013-10,0.2,
2014-01,-0.2,
2014-04,-0.2,
2014-07,-0.2,
