"",BBK01.OEXL08M,BBK01.OEXL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:35,
2002-01,2.231,
2002-04,2.194,
2002-07,2.159,
2002-10,2.291,
2003-01,2.434,
2003-04,2.505,
2003-07,2.519,
2003-10,2.565,
2004-01,2.525,
2004-04,2.520,
2004-07,2.468,
2004-10,2.291,
2005-01,2.266,
2005-04,2.247,
2005-07,2.211,
2005-10,2.257,
2006-01,2.217,
2006-04,2.175,
2006-07,2.082,
2006-10,2.050,
2007-01,1.954,
2007-04,1.924,
2007-07,1.889,
2007-10,1.928,
2008-01,1.932,
2008-04,1.898,
2008-07,1.719,
2008-10,1.819,
2009-01,1.884,
2009-04,1.913,
2009-07,1.855,
2009-10,2.166,
2010-01,2.127,
2010-04,2.080,
2010-07,2.088,
2010-10,2.128,
2011-01,2.286,
2011-04,2.402,
2011-07,2.388,
2011-10,2.448,
2012-01,2.665,
2012-04,2.693,
2012-07,2.761,
2012-10,3.000,
2013-01,3.060,
2013-04,3.068,
2013-07,3.082,
2013-10,3.139,
2014-01,3.130,
2014-04,3.115,
2014-07,3.105,
