"",BBK01.OEAH18N,BBK01.OEAH18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:18,
2002-01,59.511,
2002-04,58.464,
2002-07,58.256,
2002-10,60.256,
2003-01,58.701,
2003-04,57.870,
2003-07,52.993,
2003-10,55.270,
2004-01,50.767,
2004-04,51.799,
2004-07,51.742,
2004-10,49.943,
2005-01,47.955,
2005-04,50.981,
2005-07,51.312,
2005-10,55.269,
2006-01,53.773,
2006-04,58.997,
2006-07,62.324,
2006-10,66.786,
2007-01,67.849,
2007-04,70.933,
2007-07,77.683,
2007-10,89.514,
2008-01,88.953,
2008-04,92.598,
2008-07,103.145,
2008-10,113.126,
2009-01,98.530,
2009-04,88.648,
2009-07,83.739,
2009-10,74.221,
2010-01,68.402,
2010-04,74.309,
2010-07,72.651,
2010-10,78.790,
2011-01,74.526,
2011-04,79.444,
2011-07,87.524,
2011-10,86.845,
2012-01,87.973,
2012-04,103.821,
2012-07,99.045,
2012-10,63.204,
2013-01,59.164,
2013-04,55.375,
2013-07,48.338,
2013-10,46.218,
2014-01,44.273,
2014-04,44.384,
2014-07,42.662,
