"",BBK01.OECB10I,BBK01.OECB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:01,
2002-01,1.887,
2002-04,1.674,
2002-07,1.599,
2002-10,1.727,
2003-01,1.406,
2003-04,1.430,
2003-07,1.519,
2003-10,1.466,
2004-01,1.238,
2004-04,1.132,
2004-07,1.201,
2004-10,1.092,
2005-01,1.110,
2005-04,1.097,
2005-07,1.041,
2005-10,0.967,
2006-01,1.028,
2006-04,0.801,
2006-07,1.253,
2006-10,0.860,
2007-01,0.795,
2007-04,0.928,
2007-07,0.927,
2007-10,1.238,
2008-01,0.844,
2008-04,1.000,
2008-07,1.151,
2008-10,0.903,
2009-01,0.917,
2009-04,0.807,
2009-07,0.854,
2009-10,0.676,
2010-01,0.659,
2010-04,0.745,
2010-07,0.739,
2010-10,0.721,
2011-01,0.991,
2011-04,0.851,
2011-07,0.850,
2011-10,0.825,
2012-01,0.843,
2012-04,0.824,
2012-07,1.051,
2012-10,0.937,
2013-01,0.806,
2013-04,0.927,
2013-07,1.061,
2013-10,1.055,
2014-01,0.887,
2014-04,1.198,
2014-07,0.933,
