"",BBK01.OEXL04T,BBK01.OEXL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:11,
2002-01,0.112,
2002-04,0.094,
2002-07,0.099,
2002-10,0.100,
2003-01,0.089,
2003-04,0.058,
2003-07,0.056,
2003-10,0.052,
2004-01,0.052,
2004-04,0.048,
2004-07,0.046,
2004-10,0.018,
2005-01,0.018,
2005-04,0.016,
2005-07,0.017,
2005-10,0.018,
2006-01,0.017,
2006-04,0.015,
2006-07,0.026,
2006-10,0.050,
2007-01,0.052,
2007-04,0.051,
2007-07,0.050,
2007-10,0.056,
2008-01,0.066,
2008-04,0.069,
2008-07,0.071,
2008-10,0.076,
2009-01,0.050,
2009-04,0.035,
2009-07,0.019,
2009-10,0.011,
2010-01,0.028,
2010-04,0.037,
2010-07,0.020,
2010-10,0.013,
2011-01,0.012,
2011-04,0.012,
2011-07,0.017,
2011-10,0.019,
2012-01,0.033,
2012-04,0.040,
2012-07,0.039,
2012-10,0.035,
2013-01,0.034,
2013-04,0.032,
2013-07,0.027,
2013-10,0.024,
2014-01,0.023,
2014-04,0.021,
2014-07,0.021,
