"",BBSF2.M.1.S.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:05,
2009-09,22465,
2009-10,21509,
2009-11,21226,
2009-12,22270,
2010-01,21682,
2010-02,21785,
2010-03,23530,
2010-04,23512,
2010-05,22785,
2010-06,23108,
2010-07,24009,
2010-08,23886,
2010-09,25064,
2010-10,26283,
2010-11,25944,
2010-12,26820,
2011-01,27179,
2011-02,27614,
2011-03,27134,
2011-04,27896,
2011-05,27253,
2011-06,26815,
2011-07,26016,
2011-08,22873,
2011-09,21966,
2011-10,24202,
2011-11,23376,
2011-12,24241,
2012-01,25134,
2012-02,26136,
2012-03,25821,
2012-04,26868,
2012-05,25017,
2012-06,25814,
2012-07,27319,
2012-08,26932,
2012-09,26870,
2012-10,27449,
2012-11,27681,
2012-12,27082,
2013-01,28182,
2013-02,29053,
2013-03,29855,
2013-04,30088,
2013-05,30825,
2013-06,28936,
2013-07,31149,
2013-08,31231,
2013-09,32011,
2013-10,33454,
2013-11,33926,
2013-12,31851,
2014-01,30898,
2014-02,32153,
2014-03,32405,
2014-04,32574,
2014-05,33914,
2014-06,33907,
2014-07,33151,
2014-08,31181,
2014-09,31640,
2014-10,32735,
2014-11,33324,
