"",BBK01.WXIF25,BBK01.WXIF25_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:52,
2009-09,16328,
2009-10,15732,
2009-11,16248,
2009-12,17690,
2010-01,15944,
2010-02,16589,
2010-03,17119,
2010-04,16445,
2010-05,21483,
2010-06,15511,
2010-07,16131,
2010-08,15932,
2010-09,16316,
2010-10,17559,
2010-11,17740,
2010-12,19275,
2011-01,19586,
2011-02,20565,
2011-03,20350,
2011-04,21101,
2011-05,21808,
2011-06,21492,
2011-07,24104,
2011-08,21029,
2011-09,19720,
2011-10,22244,
2011-11,22245,
2011-12,22046,
2012-01,23486,
2012-02,24567,
2012-03,24577,
2012-04,20179,
2012-05,21675,
2012-06,22973,
2012-07,24262,
2012-08,25091,
2012-09,25754,
2012-10,26084,
2012-11,26621,
2012-12,28007,
2013-01,29213,
2013-02,29236,
2013-03,29252,
2013-04,29151,
2013-05,30608,
2013-06,29500,
2013-07,30962,
2013-08,30329,
2013-09,32097,
2013-10,34759,
2013-11,36560,
2013-12,37122,
2014-01,36223,
2014-02,38002,
2014-03,37420,
2014-04,37554,
2014-05,39569,
2014-06,39910,
2014-07,38685,
2014-08,39613,
2014-09,36692,
2014-10,35388,
2014-11,34539,
