"",BBK01.OEAC14L,BBK01.OEAC14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:04,
2002-01,41.918,
2002-04,41.403,
2002-07,41.349,
2002-10,41.237,
2003-01,43.426,
2003-04,43.181,
2003-07,44.128,
2003-10,43.149,
2004-01,42.606,
2004-04,42.709,
2004-07,42.518,
2004-10,42.467,
2005-01,41.130,
2005-04,40.447,
2005-07,40.097,
2005-10,39.256,
2006-01,38.586,
2006-04,37.627,
2006-07,37.330,
2006-10,36.857,
2007-01,36.319,
2007-04,36.916,
2007-07,38.161,
2007-10,38.500,
2008-01,38.104,
2008-04,37.386,
2008-07,36.942,
2008-10,37.167,
2009-01,36.702,
2009-04,38.073,
2009-07,37.590,
2009-10,37.336,
2010-01,37.144,
2010-04,37.235,
2010-07,37.102,
2010-10,36.577,
2011-01,36.118,
2011-04,35.973,
2011-07,35.790,
2011-10,35.432,
2012-01,35.233,
2012-04,36.670,
2012-07,36.408,
2012-10,36.113,
2013-01,35.885,
2013-04,35.515,
2013-07,35.544,
2013-10,35.182,
2014-01,34.999,
2014-04,34.931,
2014-07,35.087,
