"",BBFN1.M.DE.N.1.A.BY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:30,
2006-03,0.007,
2006-04,0.010,
2006-05,0.010,
2006-06,0.009,
2006-07,0.009,
2006-08,0.009,
2006-09,0.010,
2006-10,0.010,
2006-11,0.019,
2006-12,0.019,
2007-01,0.023,
2007-02,0.030,
2007-03,0.031,
2007-04,0.031,
2007-05,0.030,
2007-06,0.023,
2007-07,0.023,
2007-08,0.020,
2007-09,0.030,
2007-10,0.023,
2007-11,0.028,
2007-12,0.036,
2008-01,0.035,
2008-02,0.037,
2008-03,0.032,
2008-04,0.039,
2008-05,0.039,
2008-06,0.033,
2008-07,0.041,
2008-08,0.036,
2008-09,0.039,
2008-10,0.036,
2008-11,0.042,
2008-12,0.035,
2009-01,0.023,
2009-02,0.035,
2009-03,0.028,
2009-04,0.029,
2009-05,0.032,
2009-06,0.030,
2009-07,0.040,
2009-08,0.029,
2009-09,0.036,
2009-10,0.037,
2009-11,0.029,
2009-12,0.043,
2010-01,0.043,
2010-02,0.031,
2010-03,0.031,
2010-04,0.040,
2010-05,0.047,
2010-06,0.046,
2010-07,0.050,
2010-08,0.050,
2010-09,0.045,
2010-10,0.045,
2010-11,0.032,
2010-12,0.031,
2011-01,0.045,
2011-02,0.044,
2011-03,0.043,
2011-04,0.045,
2011-05,0.044,
2011-06,0.047,
2011-07,0.044,
2011-08,0.042,
2011-09,0.047,
2011-10,0.050,
2011-11,0.050,
2011-12,0.049,
2012-01,0.046,
2012-02,0.038,
2012-03,0.051,
2012-04,0.051,
2012-05,0.057,
2012-06,0.056,
2012-07,0.053,
2012-08,0.054,
2012-09,0.054,
2012-10,0.052,
2012-11,0.052,
2012-12,0.060,
2013-01,0.060,
2013-02,0.062,
2013-03,0.064,
2013-04,0.066,
2013-05,0.059,
2013-06,0.059,
2013-07,0.061,
2013-08,0.063,
2013-09,0.065,
2013-10,0.068,
2013-11,0.045,
2013-12,0.046,
2014-01,0.058,
2014-02,0.058,
2014-03,0.060,
2014-04,0.059,
2014-05,0.058,
2014-06,0.060,
2014-07,0.050,
2014-08,0.050,
2014-09,0.050,
2014-10,0.049,
2014-11,0.049,
2014-12,0.045,
