"",BBEX3.M.NOK.EUR.CA.AC.A01,BBEX3.M.NOK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Norway / EUR 1 = NOK ... (middle),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:46,
1999-01,8.55580,
1999-02,8.70290,
1999-03,8.35050,
1999-04,8.24610,
1999-05,8.23420,
1999-06,8.10490,
1999-07,8.34390,
1999-08,8.30780,
1999-09,8.23970,
1999-10,8.25590,
1999-11,8.13270,
1999-12,8.07620,
2000-01,8.07930,
2000-02,8.06020,
2000-03,8.07760,
2000-04,8.15260,
2000-05,8.31210,
2000-06,8.18220,
2000-07,8.18170,
2000-08,8.07370,
2000-09,8.01100,
2000-10,7.90140,
2000-11,8.05140,
2000-12,8.27850,
2001-01,8.18530,
2001-02,8.24050,
2001-03,8.02910,
2001-04,8.09410,
2001-05,7.90740,
2001-06,7.88000,
2001-07,7.98220,
2001-08,8.06330,
2001-09,8.09390,
2001-10,7.99240,
2001-11,7.96260,
2001-12,7.97230,
2002-01,7.82360,
2002-02,7.70570,
2002-03,7.70980,
2002-04,7.58590,
2002-05,7.47170,
2002-06,7.40090,
2002-07,7.43760,
2002-08,7.38170,
2002-09,7.34250,
2002-10,7.37360,
2002-11,7.28480,
2002-12,7.28250,
2003-01,7.44250,
2003-02,7.76210,
2003-03,7.89240,
2003-04,7.82790,
2003-05,7.88830,
2003-06,8.25420,
2003-07,8.16860,
2003-08,8.28170,
2003-09,8.15620,
2003-10,8.19870,
2003-11,8.16410,
2003-12,8.42190,
2004-01,8.78440,
2004-02,8.75090,
2004-03,8.41070,
2004-04,8.19300,
2004-05,8.23270,
2004-06,8.38580,
2004-07,8.43770,
2004-08,8.38520,
2004-09,8.36880,
2004-10,8.15440,
2004-11,8.11850,
2004-12,8.24260,
2005-01,8.26120,
2005-02,8.25290,
2005-03,8.19340,
2005-04,8.14460,
2005-05,7.98450,
2005-06,7.90960,
2005-07,7.90070,
2005-08,7.89880,
2005-09,7.84790,
2005-10,7.80450,
2005-11,7.96420,
2005-12,8.02010,
2006-01,8.13080,
2006-02,8.03270,
2006-03,7.96090,
2006-04,7.76440,
2006-05,7.81670,
2006-06,7.91340,
2006-07,7.88370,
2006-08,8.08500,
2006-09,8.21920,
2006-10,8.33420,
2006-11,8.19700,
2006-12,8.25830,
2007-01,8.14880,
2007-02,8.11350,
2007-03,8.11670,
2007-04,8.13400,
2007-05,8.14450,
2007-06,7.94200,
2007-07,7.98630,
2007-08,7.94280,
2007-09,7.70970,
2007-10,7.72410,
2007-11,8.11930,
2007-12,7.96250,
2008-01,8.06360,
2008-02,7.88400,
2008-03,8.05400,
2008-04,8.01230,
2008-05,7.88890,
2008-06,7.98830,
2008-07,8.02250,
2008-08,7.91890,
2008-09,8.33310,
2008-10,8.54640,
2008-11,8.89150,
2008-12,9.86660,
2009-01,8.92010,
2009-02,8.85430,
2009-03,8.94520,
2009-04,8.73330,
2009-05,8.95830,
2009-06,9.01410,
2009-07,8.74140,
2009-08,8.62340,
2009-09,8.50680,
2009-10,8.38670,
2009-11,8.48340,
2009-12,8.29860,
2010-01,8.20810,
2010-02,8.05550,
2010-03,8.02750,
2010-04,7.83090,
2010-05,7.93740,
2010-06,7.91340,
2010-07,7.94780,
2010-08,8.01180,
2010-09,7.96540,
2010-10,8.24930,
2010-11,8.07790,
2010-12,7.81420,
2011-01,7.91390,
2011-02,7.75230,
2011-03,7.88180,
2011-04,7.78540,
2011-05,7.74760,
2011-06,7.78160,
2011-07,7.73650,
2011-08,7.73580,
2011-09,7.88990,
2011-10,7.67490,
2011-11,7.79880,
2011-12,7.77180,
2012-01,7.65740,
2012-02,7.47850,
2012-03,7.62590,
2012-04,7.58220,
2012-05,7.53140,
2012-06,7.54570,
2012-07,7.41760,
2012-08,7.27680,
2012-09,7.37830,
2012-10,7.43770,
2012-11,7.37720,
2012-12,7.37560,
2013-01,7.43120,
2013-02,7.48870,
2013-03,7.48070,
2013-04,7.62250,
2013-05,7.61630,
2013-06,7.86510,
2013-07,7.88340,
2013-08,8.06470,
2013-09,8.09230,
2013-10,8.09200,
2013-11,8.29080,
2013-12,8.38370,
2014-01,8.47020,
2014-02,8.28090,
2014-03,8.26640,
2014-04,8.28760,
2014-05,8.11840,
2014-06,8.35990,
2014-07,8.38410,
2014-08,8.14610,
2014-09,8.16810,
2014-10,8.41910,
2014-11,8.66910,
2014-12,9.03070,
2015-01,8.86140,
2015-02,8.56630,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1999 - November 2003 Den norske Bank, Oslo",
