"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:08,
1991-01,3.953,
1991-04,-259.580,
1991-07,-650.816,
1991-10,-116.909,
1992-01,37.509,
1992-04,-188.238,
1992-07,-267.515,
1992-10,-13.273,
1993-01,48.973,
1993-04,-62.652,
1993-07,-13.039,
1993-10,-137.665,
1994-01,-74.437,
1994-04,-19.270,
1994-07,-180.353,
1994-10,184.793,
1995-01,149.628,
1995-04,-325.825,
1995-07,161.476,
1995-10,-103.634,
1996-01,39.411,
1996-04,230.713,
1996-07,16.001,
1996-10,123.562,
1997-01,196.363,
1997-04,166.454,
1997-07,-236.356,
1997-10,336.209,
1998-01,-15.612,
1998-04,-29.570,
1998-07,143.507,
1998-10,609.484,
1999-01,-1583.284,
1999-04,2936.044,
1999-07,-1535.253,
1999-10,-354.508,
2000-01,2653.240,
2000-04,-2604.819,
2000-07,1165.123,
2000-10,-1484.157,
2001-01,1381.870,
2001-04,-507.894,
2001-07,-122.443,
2001-10,91.219,
2002-01,267.525,
2002-04,-377.484,
2002-07,425.683,
2002-10,-33.748,
2003-01,109.193,
2003-04,-534.630,
2003-07,394.004,
2003-10,-441.521,
2004-01,-65.857,
2004-04,932.314,
2004-07,290.811,
2004-10,571.767,
2005-01,-583.179,
2005-04,655.199,
2005-07,-179.433,
2005-10,-415.880,
2006-01,1825.928,
2006-04,-143.662,
2006-07,985.696,
2006-10,-96.045,
2007-01,-2092.517,
2007-04,446.015,
2007-07,-27.563,
2007-10,364.061,
2008-01,526.907,
2008-04,2154.421,
2008-07,-1641.329,
2008-10,-1557.528,
2009-01,76.086,
2009-04,991.320,
2009-07,-1019.206,
2009-10,1049.352,
2010-01,1187.086,
2010-04,661.597,
2010-07,-412.975,
2010-10,330.324,
2011-01,1618.570,
2011-04,1564.714,
2011-07,-1885.298,
2011-10,-192.990,
2012-01,4247.519,
2012-04,82.295,
2012-07,3322.780,
2012-10,-1714.306,
2013-01,1935.681,
2013-04,665.180,
2013-07,1662.542,
2013-10,1117.047,
2014-01,1702.344,Provisional value
2014-04,2641.052,Provisional value
2014-07,-1254.056,Provisional value
2014-10,-4333.437,Provisional value
