"",BBSF2.M.1.S.I0015.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:17,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,212,
1993-05,212,
1993-06,213,
1993-07,215,
1993-08,215,
1993-09,215,
1993-10,214,
1993-11,216,
1993-12,217,
1994-01,223,
1994-02,223,
1994-03,226,
1994-04,229,
1994-05,231,
1994-06,232,
1994-07,234,
1994-08,236,
1994-09,236,
1994-10,238,
1994-11,238,
1994-12,241,
1995-01,241,
1995-02,244,
1995-03,243,
1995-04,243,
1995-05,243,
1995-06,244,
1995-07,247,
1995-08,248,
1995-09,250,
1995-10,250,
1995-11,251,
1995-12,251,
1996-01,251,
1996-02,251,
1996-03,251,
1996-04,253,
1996-05,253,
1996-06,256,
1996-07,258,
1996-08,264,
1996-09,268,
1996-10,271,
1996-11,271,
1996-12,271,
1997-01,275,
1997-02,276,
1997-03,277,
1997-04,276,
1997-05,277,
1997-06,277,
1997-07,280,
1997-08,284,
1997-09,286,
1997-10,287,
1997-11,276,
1997-12,276,
1998-01,283,
1998-02,290,
1998-03,295,
1998-04,299,
1998-05,301,
1998-06,306,
1998-07,314,
1998-08,321,
1998-09,321,
1998-10,325,
1998-11,325,
1998-12,330,
1999-01,334,
1999-02,340,
1999-03,344,
1999-04,350,
1999-05,355,
1999-06,356,
1999-07,364,
1999-08,367,
1999-09,371,
1999-10,375,
1999-11,376,
1999-12,379,
2000-01,387,
2000-02,393,
2000-03,397,
2000-04,402,
2000-05,404,
2000-06,412,
2000-07,416,
2000-08,420,
2000-09,425,
2000-10,430,
2000-11,429,
2000-12,429,
2001-01,435,
2001-02,440,
2001-03,446,
2001-04,445,
2001-05,452,
2001-06,454,
2001-07,457,
2001-08,457,
2001-09,457,
2001-10,457,
2001-11,461,
2001-12,461,
2002-01,465,
2002-02,464,
2002-03,466,
2002-04,473,
2002-05,473,
2002-06,469,
2002-07,469,
2002-08,468,
2002-09,468,
2002-10,463,
2002-11,462,
2002-12,462,
2003-01,466,
2003-02,468,
2003-03,474,
2003-04,475,
2003-05,473,
2003-06,468,
2003-07,464,
2003-08,465,
2003-09,468,
2003-10,470,
2003-11,465,
2003-12,460,
2004-01,458,
2004-02,455,
2004-03,452,
2004-04,450,
2004-05,452,
2004-06,443,
2004-07,442,
2004-08,442,
2004-09,440,
2004-10,437,
2004-11,429,
2004-12,422,
2005-01,421,
2005-02,419,
2005-03,417,
2005-04,412,
2005-05,406,
2005-06,405,
2005-07,400,
2005-08,399,
2005-09,392,
2005-10,386,
2005-11,385,
2005-12,383,
2006-01,373,
2006-02,375,
2006-03,375,
2006-04,372,
2006-05,372,
2006-06,370,
2006-07,367,
2006-08,368,
2006-09,366,
2006-10,364,
2006-11,361,
2006-12,360,
2007-01,357,
2007-02,357,
2007-03,356,
2007-04,357,
2007-05,355,
2007-06,355,
2007-07,355,
2007-08,354,
2007-09,349,
2007-10,348,
2007-11,350,
2007-12,348,
2008-01,345,
2008-02,343,
2008-03,343,
2008-04,347,
2008-05,355,
2008-06,357,
2008-07,357,
2008-08,356,
2008-09,355,
2008-10,352,
2008-11,375,
2008-12,368,
2009-01,367,
2009-02,369,
2009-03,370,
2009-04,372,
2009-05,374,
2009-06,374,
2009-07,378,
2009-08,372,
2009-09,422,
2009-10,429,
2009-11,425,
2009-12,413,
2010-01,418,
2010-02,415,
2010-03,412,
2010-04,415,
2010-05,416,
2010-06,410,
2010-07,405,
2010-08,400,
2010-09,399,
2010-10,399,
2010-11,400,
2010-12,399,
2011-01,403,
2011-02,406,
2011-03,407,
2011-04,409,
2011-05,409,
2011-06,411,
2011-07,410,
2011-08,411,
2011-09,418,
2011-10,459,
2011-11,462,
2011-12,457,
2012-01,461,
2012-02,464,
2012-03,458,
2012-04,458,
2012-05,457,
2012-06,460,
2012-07,457,
2012-08,456,
2012-09,457,
2012-10,461,
2012-11,458,
2012-12,455,
2013-01,456,
2013-02,453,
2013-03,451,
2013-04,453,
2013-05,456,
2013-06,461,
2013-07,475,
2013-08,472,
2013-09,494,
2013-10,491,
2013-11,483,
2013-12,487,
2014-01,480,
2014-02,479,
2014-03,479,
2014-04,481,
2014-05,481,
2014-06,481,
2014-07,475,
2014-08,473,
2014-09,479,
2014-10,477,
2014-11,472,
