"",BBFB1.Q.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:07,
1991-01,-7014.193,
1991-04,-7336.388,
1991-07,-6507.229,
1991-10,-1682.891,
1992-01,-4664.448,
1992-04,-5881.138,
1992-07,-5146.983,
1992-10,-4447.268,
1993-01,-1973.673,
1993-04,-4577.524,
1993-07,-9512.658,
1993-10,-2083.258,
1994-01,-5569.471,
1994-04,-4538.852,
1994-07,-11754.770,
1994-10,-5575.068,
1995-01,-5608.657,
1995-04,-5512.173,
1995-07,-10395.454,
1995-10,-2081.905,
1996-01,-3286.999,
1996-04,-5243.403,
1996-07,-7315.688,
1996-10,2855.113,
1997-01,-7719.786,
1997-04,-2369.926,
1997-07,-5613.561,
1997-10,5708.096,
1998-01,-4777.876,
1998-04,-1998.057,
1998-07,-8173.371,
1998-10,643.214,
1999-01,-9141.130,
1999-04,-4007.668,
1999-07,-12965.130,
1999-10,-3106.334,
2000-01,-4234.414,
2000-04,-7403.645,
2000-07,-17694.659,
2000-10,-7624.805,
2001-01,-4084.232,
2001-04,-6286.766,
2001-07,-5150.041,
2001-10,7614.471,
2002-01,8640.674,
2002-04,7300.065,
2002-07,10245.922,
2002-10,15468.982,
2003-01,5524.277,
2003-04,3301.531,
2003-07,6266.258,
2003-10,16633.409,
2004-01,25465.642,
2004-04,27905.728,
2004-07,18146.640,
2004-10,30539.399,
2005-01,28561.223,
2005-04,25864.395,
2005-07,22571.677,
2005-10,30401.424,
2006-01,30549.283,
2006-04,29433.293,
2006-07,28258.692,
2006-10,49824.945,
2007-01,43292.253,
2007-04,38952.607,
2007-07,38478.250,
2007-10,52409.272,
2008-01,43601.615,
2008-04,38990.123,
2008-07,28451.752,
2008-10,36777.271,
2009-01,28380.411,
2009-04,29068.037,
2009-07,34021.263,
2009-10,51702.913,
2010-01,35273.382,
2010-04,29738.779,
2010-07,31600.138,
2010-10,50039.294,
2011-01,41018.329,
2011-04,32886.181,
2011-07,37553.448,
2011-10,52512.419,
2012-01,46888.071,
2012-04,44482.490,
2012-07,48376.254,
2012-10,56495.247,
2013-01,44644.516,
2013-04,46362.210,
2013-07,38873.998,
2013-10,59361.147,
2014-01,49408.838,Provisional value
2014-04,46305.697,Provisional value
2014-07,54021.552,Provisional value
