"",BBK01.CEBK0N,BBK01.CEBK0N_FLAGS
"",Other equity debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:50,
1991-01,46.5,
1991-04,47.4,
1991-07,48.5,
1991-10,47.1,
1992-01,46.5,
1992-04,46.2,
1992-07,45.6,
1992-10,48.9,
1993-01,48.6,
1993-04,48.4,
1993-07,47.2,
1993-10,50.1,
1994-01,49.8,
1994-04,50.0,
1994-07,50.5,
1994-10,56.6,
1995-01,57.3,
1995-04,57.8,
1995-07,58.9,
1995-10,63.7,
1996-01,65.1,
1996-04,65.1,
1996-07,65.8,
1996-10,72.8,
1997-01,72.8,
1997-04,74.2,
1997-07,76.9,
1997-10,84.5,
1998-01,87.1,
1998-04,89.7,
1998-07,93.5,
1998-10,104.5,
1999-01,105.0,
1999-04,105.4,
1999-07,107.9,
1999-10,107.1,
2000-01,106.9,
2000-04,120.4,
2000-07,128.4,
2000-10,233.6,
2001-01,247.3,
2001-04,251.1,
2001-07,250.6,
2001-10,183.0,
2002-01,191.8,
2002-04,200.1,
2002-07,204.2,
2002-10,206.7,
2003-01,220.8,
2003-04,221.6,
2003-07,226.4,
2003-10,241.1,
2004-01,249.7,
2004-04,249.5,
2004-07,255.0,
2004-10,291.8,
2005-01,285.7,
2005-04,290.9,
2005-07,293.5,
2005-10,297.6,
2006-01,303.6,
2006-04,304.4,
2006-07,312.4,
2006-10,323.9,
2007-01,334.0,
2007-04,343.0,
2007-07,347.4,
2007-10,355.9,
2008-01,347.3,
2008-04,347.5,
2008-07,349.4,
2008-10,352.4,
2009-01,380.5,
2009-04,381.6,
2009-07,380.5,
2009-10,389.4,
2010-01,392.8,
2010-04,397.4,
2010-07,405.3,
2010-10,409.5,
2011-01,411.5,
2011-04,410.8,
2011-07,409.7,
2011-10,422.3,
2012-01,424.7,
2012-04,423.3,
2012-07,417.7,
2012-10,424.2,
2013-01,425.3,
2013-04,426.4,
2013-07,428.0,
2013-10,433.3,
2014-01,435.4,
