"",BBFN1.M.DE.N.1.L.KR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:36,
1994-07,0.341,
1994-08,0.326,
1994-09,0.318,
1994-10,0.360,
1994-11,0.373,
1994-12,0.409,
1995-01,0.425,
1995-02,0.422,
1995-03,0.392,
1995-04,0.425,
1995-05,0.467,
1995-06,0.366,
1995-07,0.433,
1995-08,0.456,
1995-09,0.475,
1995-10,0.450,
1995-11,0.411,
1995-12,0.422,
1996-01,0.394,
1996-02,0.390,
1996-03,0.435,
1996-04,0.468,
1996-05,0.441,
1996-06,0.449,
1996-07,0.446,
1996-08,0.455,
1996-09,0.453,
1996-10,0.460,
1996-11,0.440,
1996-12,0.478,
1997-01,0.475,
1997-02,0.477,
1997-03,0.501,
1997-04,0.455,
1997-05,0.603,
1997-06,0.664,
1997-07,0.645,
1997-08,0.671,
1997-09,0.714,
1997-10,0.754,
1997-11,0.735,
1997-12,0.761,
1998-01,0.764,
1998-02,0.772,
1998-03,0.846,
1998-04,0.883,
1998-05,0.841,
1998-06,0.845,
1998-07,0.766,
1998-08,0.706,
1998-09,0.750,
1998-10,0.709,
1998-11,0.775,
1998-12,0.773,
1999-01,0.750,
1999-02,0.714,
1999-03,0.911,
1999-04,0.938,
1999-05,0.918,
1999-06,0.736,
1999-07,0.750,
1999-08,0.786,
1999-09,0.815,
1999-10,0.882,
1999-11,0.963,
1999-12,0.975,
2000-01,0.943,
2000-02,0.903,
2000-03,0.767,
2000-04,0.775,
2000-05,0.808,
2000-06,0.823,
2000-07,0.790,
2000-08,0.737,
2000-09,0.944,
2000-10,0.983,
2000-11,1.080,
2000-12,1.019,
2001-01,0.944,
2001-02,0.932,
2001-03,0.959,
2001-04,0.907,
2001-05,0.924,
2001-06,0.911,
2001-07,0.843,
2001-08,0.836,
2001-09,0.859,
2001-10,0.742,
2001-11,0.794,
2001-12,0.863,
2002-01,0.824,
2002-02,0.744,
2002-03,0.737,
2002-04,0.713,
2002-05,0.695,
2002-06,0.700,
2002-07,0.691,
2002-08,0.829,
2002-09,0.747,
2002-10,0.745,
2002-11,0.823,
2002-12,0.782,
2003-01,0.801,
2003-02,0.774,
2003-03,0.796,
2003-04,0.732,
2003-05,0.719,
2003-06,0.703,
2003-07,0.859,
2003-08,0.918,
2003-09,0.949,
2003-10,1.003,
2003-11,1.007,
2003-12,1.039,
2004-01,1.117,
2004-02,1.153,
2004-03,1.062,
2004-04,1.073,
2004-05,1.076,
2004-06,1.005,
2004-07,1.027,
2004-08,1.096,
2004-09,1.126,
2004-10,1.168,
2004-11,1.964,
2004-12,1.943,
2005-01,2.058,
2005-02,2.067,
2005-03,2.099,
2005-04,2.156,
2005-05,2.245,
2005-06,2.412,
2005-07,2.488,
2005-08,2.534,
2005-09,2.523,
2005-10,2.582,
2005-11,2.646,
2005-12,2.766,
2006-01,2.654,
2006-02,2.603,
2006-03,2.577,
2006-04,2.504,
2006-05,2.533,
2006-06,2.840,
2006-07,2.702,
2006-08,2.830,
2006-09,3.138,
2006-10,3.368,
2006-11,3.443,
2006-12,3.349,
2007-01,3.108,
2007-02,3.020,
2007-03,3.036,
2007-04,3.178,
2007-05,3.041,
2007-06,3.163,
2007-07,2.985,
2007-08,3.092,
2007-09,3.110,
2007-10,3.070,
2007-11,3.060,
2007-12,3.008,
2008-01,2.712,
2008-02,2.564,
2008-03,2.510,
2008-04,2.388,
2008-05,2.287,
2008-06,2.291,
2008-07,2.363,
2008-08,2.291,
2008-09,2.369,
2008-10,2.300,
2008-11,2.232,
2008-12,1.766,
2009-01,1.628,
2009-02,1.857,
2009-03,1.881,
2009-04,1.634,
2009-05,1.613,
2009-06,1.339,
2009-07,1.321,
2009-08,1.474,
2009-09,1.640,
2009-10,1.664,
2009-11,1.624,
2009-12,1.487,
2010-01,1.570,
2010-02,1.620,
2010-03,1.673,
2010-04,1.619,
2010-05,2.352,
2010-06,2.374,
2010-07,2.276,
2010-08,2.362,
2010-09,2.511,
2010-10,2.471,
2010-11,1.965,
2010-12,2.080,
2011-01,1.699,
2011-02,1.812,
2011-03,1.710,
2011-04,1.676,
2011-05,1.671,
2011-06,1.882,
2011-07,1.878,
2011-08,1.942,
2011-09,2.085,
2011-10,2.187,
2011-11,2.084,
2011-12,2.015,
2012-01,2.054,
2012-02,1.919,
2012-03,1.908,
2012-04,1.965,
2012-05,1.854,
2012-06,2.198,
2012-07,2.223,
2012-08,2.111,
2012-09,2.270,
2012-10,2.421,
2012-11,2.408,
2012-12,2.076,
2013-01,1.993,
2013-02,2.046,
2013-03,2.283,
2013-04,2.392,
2013-05,2.164,
2013-06,2.100,
2013-07,1.933,
2013-08,2.014,
2013-09,2.260,
2013-10,2.210,
2013-11,2.371,
2013-12,2.059,
2014-01,1.894,
2014-02,2.083,
2014-03,2.139,
2014-04,2.020,
2014-05,2.113,
2014-06,2.360,
2014-07,2.460,
2014-08,2.226,
2014-09,2.279,
2014-10,2.427,
2014-11,2.588,
2014-12,2.625,
