"",BBK01.TZ5152,BBK01.TZ5152_FLAGS
"",Deposits of non-MFIs / Insurance corporations and pension funds / Short term / Domestic / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:47,
1999-02,-0.7,
1999-03,0.8,
1999-04,0.3,
1999-05,-0.6,
1999-06,-0.1,
1999-07,0.2,
1999-08,-1.3,
1999-09,0.2,
1999-10,0.3,
1999-11,0.1,
1999-12,0.5,
2000-01,0.4,
2000-02,0.6,
2000-03,0.0,
2000-04,-0.4,
2000-05,-0.5,
2000-06,0.8,
2000-07,0.1,
2000-08,-0.9,
2000-09,-0.8,
2000-10,1.8,
2000-11,1.2,
2000-12,-0.4,
2001-01,0.5,
2001-02,0.9,
2001-03,-0.9,
2001-04,1.3,
2001-05,-1.2,
2001-06,1.2,
2001-07,-0.7,
2001-08,-0.1,
2001-09,2.1,
2001-10,-0.9,
2001-11,1.5,
2001-12,0.9,
2002-01,-1.5,
2002-02,-1.1,
2002-03,-0.9,
2002-04,1.3,
2002-05,0.9,
2002-06,0.6,
2002-07,2.7,
2002-08,0.3,
2002-09,1.1,
2002-10,0.5,
2002-11,-0.6,
2002-12,2.5,
2003-01,-0.9,
2003-02,-1.1,
2003-03,3.6,
2003-04,1.1,
2003-05,-0.7,
2003-06,2.0,
2003-07,-2.6,
2003-08,-0.9,
2003-09,-1.6,
2003-10,-1.6,
2003-11,0.2,
2003-12,1.3,
2004-01,2.3,
2004-02,-1.3,
2004-03,3.0,
2004-04,-2.3,
2004-05,0.3,
2004-06,-2.2,
2004-07,1.8,
2004-08,3.1,
2004-09,2.2,
2004-10,0.5,
2004-11,0.6,
2004-12,-6.4,
2005-01,2.7,
2005-02,-0.5,
2005-03,0.3,
2005-04,1.7,
2005-05,1.2,
2005-06,-2.0,
2005-07,0.6,
2005-08,-0.4,
2005-09,-1.3,
2005-10,-1.6,
2005-11,0.1,
2005-12,-2.9,
2006-01,1.2,
2006-02,0.1,
2006-03,-0.4,
2006-04,-0.7,
2006-05,-0.6,
2006-06,1.0,
2006-07,1.0,
2006-08,-0.6,
2006-09,0.2,
2006-10,0.2,
2006-11,2.7,
2006-12,0.1,
2007-01,-2.8,
2007-02,0.2,
2007-03,0.1,
2007-04,0.3,
2007-05,1.3,
2007-06,0.7,
2007-07,2.6,
2007-08,-3.8,
2007-09,0.8,
2007-10,1.5,
2007-11,3.1,
2007-12,-0.6,
2008-01,1.2,
2008-02,-0.7,
2008-03,1.4,
2008-04,-0.5,
2008-05,0.0,
2008-06,2.0,
2008-07,-1.8,
2008-08,0.9,
2008-09,0.3,
2008-10,1.2,
2008-11,1.5,
2008-12,0.2,
2009-01,1.2,
2009-02,2.8,
2009-03,1.5,
2009-04,-2.0,
2009-05,-3.7,
2009-06,-1.7,
2009-07,2.5,
2009-08,0.7,
2009-09,1.0,
2009-10,-0.3,
2009-11,-1.7,
2009-12,0.2,
2010-01,-1.0,
2010-02,-1.2,
2010-03,-0.9,
2010-04,-0.8,
2010-05,1.3,
2010-06,-1.8,
2010-07,-0.3,
2010-08,-0.1,
2010-09,-1.5,
2010-10,1.0,
2010-11,-1.1,
2010-12,-1.7,
2011-01,1.4,
2011-02,0.3,
2011-03,0.8,
2011-04,1.2,
2011-05,0.4,
2011-06,1.5,
2011-07,0.7,
2011-08,2.9,
2011-09,1.3,
2011-10,1.3,
2011-11,-2.1,
2011-12,-0.1,
2012-01,-1.5,
2012-02,0.8,
2012-03,0.6,
2012-04,0.3,
2012-05,1.6,
2012-06,-0.8,
2012-07,0.7,
2012-08,-0.7,
2012-09,1.0,
2012-10,-0.4,
2012-11,0.9,
2012-12,0.7,
2013-01,0.1,
2013-02,-0.8,
2013-03,0.2,
2013-04,1.2,
2013-05,-0.7,
2013-06,-3.5,
2013-07,1.2,
2013-08,0.6,
2013-09,-1.4,
2013-10,0.1,
2013-11,-0.4,
2013-12,-3.1,
2014-01,4.8,
2014-02,0.6,
2014-03,0.7,
2014-04,0.4,
2014-05,0.2,
2014-06,1.0,
2014-07,1.0,
2014-08,0.6,
2014-09,-3.4,
2014-10,-0.2,
2014-11,-0.4,
2014-12,-0.3,Provisional value
2015-01,-1.3,
