"",BBK01.OEAF23M,BBK01.OEAF23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:33,
2002-01,3.186,
2002-04,3.055,
2002-07,2.983,
2002-10,2.948,
2003-01,2.860,
2003-04,3.075,
2003-07,3.146,
2003-10,2.997,
2004-01,2.995,
2004-04,3.115,
2004-07,2.953,
2004-10,2.706,
2005-01,4.115,
2005-04,2.785,
2005-07,3.064,
2005-10,3.089,
2006-01,3.043,
2006-04,3.383,
2006-07,3.348,
2006-10,3.601,
2007-01,3.262,
2007-04,3.213,
2007-07,3.211,
2007-10,3.171,
2008-01,3.119,
2008-04,3.053,
2008-07,3.005,
2008-10,2.941,
2009-01,2.934,
2009-04,3.071,
2009-07,3.277,
2009-10,3.460,
2010-01,3.588,
2010-04,3.369,
2010-07,3.457,
2010-10,3.622,
2011-01,3.742,
2011-04,3.906,
2011-07,3.985,
2011-10,4.022,
2012-01,4.140,
2012-04,4.300,
2012-07,4.416,
2012-10,4.539,
2013-01,4.527,
2013-04,4.574,
2013-07,4.655,
2013-10,4.664,
2014-01,4.708,
2014-04,4.721,
2014-07,4.786,
