"",BBDE1.M.DE.W.GUA1.N2G470000.A.V.I10.A,BBDE1.M.DE.W.GUA1.N2G470000.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:18:58,
1994-01,86.5,
1994-02,82.7,
1994-03,95.6,
1994-04,92.3,
1994-05,90.8,
1994-06,87.8,
1994-07,90.5,
1994-08,88.4,
1994-09,92.6,
1994-10,97.4,
1994-11,99.7,
1994-12,122.1,
1995-01,85.9,
1995-02,84.9,
1995-03,97.8,
1995-04,94.0,
1995-05,94.4,
1995-06,91.6,
1995-07,93.0,
1995-08,90.1,
1995-09,92.9,
1995-10,97.2,
1995-11,101.7,
1995-12,121.2,
1996-01,87.4,
1996-02,84.3,
1996-03,96.9,
1996-04,95.4,
1996-05,94.0,
1996-06,89.8,
1996-07,92.9,
1996-08,90.5,
1996-09,94.3,
1996-10,97.9,
1996-11,101.8,
1996-12,119.0,
1997-01,89.1,
1997-02,83.5,
1997-03,95.7,
1997-04,94.4,
1997-05,93.4,
1997-06,90.5,
1997-07,92.0,
1997-08,87.7,
1997-09,91.2,
1997-10,98.8,
1997-11,100.3,
1997-12,117.1,
1998-01,87.3,
1998-02,83.6,
1998-03,98.5,
1998-04,93.7,
1998-05,94.1,
1998-06,88.4,
1998-07,94.0,
1998-08,89.7,
1998-09,91.8,
1998-10,98.0,
1998-11,103.5,
1998-12,119.1,
1999-01,88.3,
1999-02,84.1,
1999-03,98.0,
1999-04,94.0,
1999-05,94.1,
1999-06,89.5,
1999-07,93.3,
1999-08,91.5,
1999-09,90.6,
1999-10,99.4,
1999-11,102.0,
1999-12,120.9,
2000-01,89.3,
2000-02,86.5,
2000-03,98.9,
2000-04,97.5,
2000-05,97.2,
2000-06,92.5,
2000-07,95.9,
2000-08,92.4,
2000-09,95.0,
2000-10,101.2,
2000-11,104.0,
2000-12,122.2,
2001-01,91.8,
2001-02,86.4,
2001-03,101.4,
2001-04,99.1,
2001-05,99.1,
2001-06,94.6,
2001-07,97.9,
2001-08,94.1,
2001-09,96.7,
2001-10,99.9,
2001-11,105.9,
2001-12,120.9,
2002-01,88.6,
2002-02,84.7,
2002-03,98.9,
2002-04,98.1,
2002-05,97.7,
2002-06,91.2,
2002-07,95.4,
2002-08,92.2,
2002-09,95.8,
2002-10,100.5,
2002-11,101.7,
2002-12,117.6,
2003-01,87.8,
2003-02,84.5,
2003-03,98.3,
2003-04,95.9,
2003-05,95.4,
2003-06,92.2,
2003-07,94.3,
2003-08,91.5,
2003-09,93.8,
2003-10,100.7,
2003-11,101.6,
2003-12,115.9,
2004-01,88.2,
2004-02,85.7,
2004-03,99.4,
2004-04,99.0,
2004-05,96.4,
2004-06,93.6,
2004-07,96.8,
2004-08,93.6,
2004-09,95.4,
2004-10,101.3,
2004-11,103.2,
2004-12,119.0,
2005-01,92.0,
2005-02,87.0,
2005-03,101.5,
2005-04,99.3,
2005-05,98.1,
2005-06,95.8,
2005-07,98.4,
2005-08,96.0,
2005-09,97.8,
2005-10,103.6,
2005-11,104.6,
2005-12,120.0,
2006-01,91.7,
2006-02,88.1,
2006-03,102.0,
2006-04,100.4,
2006-05,100.5,
2006-06,98.3,
2006-07,99.0,
2006-08,97.6,
2006-09,97.2,
2006-10,104.0,
2006-11,105.1,
2006-12,123.3,
2007-01,89.5,
2007-02,87.2,
2007-03,101.5,
2007-04,102.1,
2007-05,97.4,
2007-06,95.5,
2007-07,97.6,
2007-08,96.4,
2007-09,97.5,
2007-10,103.4,
2007-11,104.3,
2007-12,116.2,
2008-01,93.4,
2008-02,89.7,
2008-03,101.7,
2008-04,100.4,
2008-05,101.4,
2008-06,97.1,
2008-07,99.6,
2008-08,99.2,
2008-09,100.7,
2008-10,105.4,
2008-11,105.3,
2008-12,119.8,
2009-01,90.2,
2009-02,85.6,
2009-03,99.0,
2009-04,99.9,
2009-05,97.8,
2009-06,92.9,
2009-07,96.7,
2009-08,94.0,
2009-09,95.2,
2009-10,102.1,
2009-11,101.5,
2009-12,117.9,
2010-01,89.4,
2010-02,86.8,
2010-03,101.2,
2010-04,99.9,
2010-05,100.5,
2010-06,97.2,
2010-07,101.0,
2010-08,97.6,
2010-09,98.3,
2010-10,104.5,
2010-11,104.0,
2010-12,120.3,
2011-01,93.0,
2011-02,90.9,
2011-03,102.9,
2011-04,103.0,
2011-05,100.3,
2011-06,99.8,
2011-07,103.1,
2011-08,99.7,
2011-09,101.5,
2011-10,108.0,
2011-11,106.7,
2011-12,122.6,
2012-01,93.8,
2012-02,91.6,
2012-03,107.2,
2012-04,105.2,
2012-05,104.9,
2012-06,103.1,
2012-07,103.9,
2012-08,101.7,
2012-09,103.4,
2012-10,108.5,
2012-11,109.3,
2012-12,121.3,
2013-01,97.2,
2013-02,93.1,
2013-03,108.1,
2013-04,106.8,
2013-05,107.5,
2013-06,104.3,
2013-07,106.2,
2013-08,103.4,
2013-09,104.6,
2013-10,109.3,
2013-11,112.0,
2013-12,122.5,
2014-01,99.2,Provisional value
2014-02,96.1,Provisional value
2014-03,111.1,Provisional value
2014-04,108.4,Provisional value
2014-05,107.7,Provisional value
2014-06,107.1,Provisional value
2014-07,107.8,Provisional value
2014-08,105.9,Provisional value
2014-09,104.8,Provisional value
2014-10,112.2,Provisional value
2014-11,113.8,Provisional value
2014-12,127.8,Provisional value
