"",BBK01.OEAF22J,BBK01.OEAF22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:52,
2002-01,0.370,
2002-04,0.367,
2002-07,0.351,
2002-10,0.336,
2003-01,0.335,
2003-04,0.339,
2003-07,0.341,
2003-10,0.341,
2004-01,0.343,
2004-04,0.346,
2004-07,0.335,
2004-10,0.323,
2005-01,0.330,
2005-04,0.327,
2005-07,0.331,
2005-10,0.314,
2006-01,0.311,
2006-04,0.301,
2006-07,0.322,
2006-10,0.314,
2007-01,0.301,
2007-04,0.300,
2007-07,0.292,
2007-10,0.289,
2008-01,0.279,
2008-04,0.280,
2008-07,0.267,
2008-10,0.267,
2009-01,0.269,
2009-04,0.270,
2009-07,0.253,
2009-10,0.256,
2010-01,0.251,
2010-04,0.265,
2010-07,0.266,
2010-10,0.279,
2011-01,0.269,
2011-04,0.260,
2011-07,0.259,
2011-10,0.245,
2012-01,0.239,
2012-04,0.235,
2012-07,0.207,
2012-10,0.203,
2013-01,0.200,
2013-04,0.196,
2013-07,0.194,
2013-10,0.187,
2014-01,0.180,
2014-04,0.176,
2014-07,0.165,
