"",BBK01.OEAA17O,BBK01.OEAA17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:31,
2002-01,17.478,
2002-04,16.672,
2002-07,17.314,
2002-10,17.328,
2003-01,17.275,
2003-04,16.918,
2003-07,17.158,
2003-10,19.153,
2004-01,19.683,
2004-04,19.173,
2004-07,19.459,
2004-10,19.329,
2005-01,26.250,
2005-04,26.700,
2005-07,26.739,
2005-10,26.242,
2006-01,26.505,
2006-04,26.484,
2006-07,26.536,
2006-10,26.377,
2007-01,26.193,
2007-04,26.722,
2007-07,27.714,
2007-10,27.208,
2008-01,27.351,
2008-04,27.600,
2008-07,25.485,
2008-10,24.352,
2009-01,24.592,
2009-04,24.223,
2009-07,24.409,
2009-10,25.879,
2010-01,25.764,
2010-04,26.637,
2010-07,26.851,
2010-10,26.824,
2011-01,26.435,
2011-04,26.647,
2011-07,26.688,
2011-10,26.377,
2012-01,27.200,
2012-04,27.660,
2012-07,27.152,
2012-10,27.062,
2013-01,27.327,
2013-04,27.056,
2013-07,31.445,
2013-10,31.986,
2014-01,32.997,
2014-04,32.894,
2014-07,32.527,
