"",BBDE1.M.DE.W.AEA1.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEA1.A2P340000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Non-durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:03,
1991-01,88.9,
1991-02,105.7,
1991-03,119.7,
1991-04,84.6,
1991-05,77.7,
1991-06,80.3,
1991-07,81.6,
1991-08,98.4,
1991-09,110.4,
1991-10,92.9,
1991-11,86.8,
1991-12,71.6,
1992-01,92.6,
1992-02,109.9,
1992-03,115.5,
1992-04,83.0,
1992-05,76.8,
1992-06,79.9,
1992-07,79.1,
1992-08,97.4,
1992-09,107.6,
1992-10,88.3,
1992-11,81.9,
1992-12,71.4,
1993-01,88.5,
1993-02,99.0,
1993-03,111.5,
1993-04,79.3,
1993-05,73.7,
1993-06,73.8,
1993-07,79.8,
1993-08,98.0,
1993-09,102.9,
1993-10,84.2,
1993-11,81.1,
1993-12,68.7,
1994-01,85.4,
1994-02,102.1,
1994-03,110.4,
1994-04,81.2,
1994-05,73.0,
1994-06,75.3,
1994-07,80.4,
1994-08,94.8,
1994-09,104.2,
1994-10,87.0,
1994-11,79.3,
1994-12,71.2,
1995-01,87.5,
1995-02,101.2,
1995-03,109.6,
1995-04,83.9,
1995-05,77.7,
1995-06,80.9,
1995-07,83.7,
1995-08,94.8,
1995-09,104.6,
1995-10,89.3,
1995-11,78.5,
1995-12,72.3,
1996-01,86.7,
1996-02,98.3,
1996-03,111.2,
1996-04,82.2,
1996-05,77.3,
1996-06,79.5,
1996-07,80.7,
1996-08,93.8,
1996-09,103.4,
1996-10,85.6,
1996-11,77.8,
1996-12,74.0,
1997-01,84.8,
1997-02,103.6,
1997-03,112.9,
1997-04,83.8,
1997-05,77.0,
1997-06,83.7,
1997-07,84.3,
1997-08,95.9,
1997-09,104.2,
1997-10,87.6,
1997-11,79.3,
1997-12,79.4,
1998-01,87.7,
1998-02,105.4,
1998-03,111.9,
1998-04,83.4,
1998-05,76.7,
1998-06,86.0,
1998-07,87.9,
1998-08,99.0,
1998-09,102.7,
1998-10,84.3,
1998-11,77.9,
1998-12,73.3,
1999-01,87.3,
1999-02,102.1,
1999-03,105.3,
1999-04,84.9,
1999-05,78.7,
1999-06,78.5,
1999-07,88.8,
1999-08,99.7,
1999-09,99.9,
1999-10,86.2,
1999-11,84.7,
1999-12,73.1,
2000-01,84.3,
2000-02,102.3,
2000-03,105.2,
2000-04,81.9,
2000-05,78.2,
2000-06,83.3,
2000-07,89.2,
2000-08,100.4,
2000-09,105.1,
2000-10,88.1,
2000-11,82.7,
2000-12,79.3,
2001-01,92.6,
2001-02,106.8,
2001-03,106.9,
2001-04,85.6,
2001-05,80.5,
2001-06,89.0,
2001-07,95.4,
2001-08,105.7,
2001-09,99.5,
2001-10,90.2,
2001-11,84.8,
2001-12,79.1,
2002-01,94.1,
2002-02,103.6,
2002-03,110.9,
2002-04,88.5,
2002-05,80.5,
2002-06,84.8,
2002-07,94.5,
2002-08,100.6,
2002-09,102.7,
2002-10,90.8,
2002-11,88.8,
2002-12,77.4,
2003-01,93.5,
2003-02,106.4,
2003-03,102.7,
2003-04,86.5,
2003-05,81.9,
2003-06,85.5,
2003-07,93.0,
2003-08,100.6,
2003-09,96.8,
2003-10,94.2,
2003-11,85.1,
2003-12,82.4,
2004-01,91.0,
2004-02,103.3,
2004-03,103.3,
2004-04,88.5,
2004-05,82.6,
2004-06,84.1,
2004-07,97.8,
2004-08,100.4,
2004-09,97.2,
2004-10,91.8,
2004-11,89.3,
2004-12,82.2,
2005-01,99.9,
2005-02,111.1,
2005-03,110.7,
2005-04,92.0,
2005-05,90.4,
2005-06,93.0,
2005-07,106.8,
2005-08,107.6,
2005-09,102.2,
2005-10,100.8,
2005-11,97.8,
2005-12,89.3,
2006-01,100.6,
2006-02,114.0,
2006-03,110.7,
2006-04,97.5,
2006-05,95.9,
2006-06,94.4,
2006-07,112.2,
2006-08,113.4,
2006-09,108.2,
2006-10,106.9,
2006-11,108.3,
2006-12,94.0,
2007-01,109.6,
2007-02,124.4,
2007-03,121.0,
2007-04,103.9,
2007-05,105.7,
2007-06,108.9,
2007-07,119.1,
2007-08,120.4,
2007-09,115.9,
2007-10,113.1,
2007-11,112.7,
2007-12,99.7,
2008-01,113.5,
2008-02,125.6,
2008-03,118.4,
2008-04,102.4,
2008-05,102.1,
2008-06,104.1,
2008-07,116.0,
2008-08,116.6,
2008-09,111.6,
2008-10,109.2,
2008-11,107.8,
2008-12,93.7,
2009-01,100.3,
2009-02,104.6,
2009-03,101.8,
2009-04,90.1,
2009-05,91.5,
2009-06,92.2,
2009-07,102.0,
2009-08,99.0,
2009-09,99.1,
2009-10,99.0,
2009-11,100.0,
2009-12,87.3,
2010-01,101.5,
2010-02,103.0,
2010-03,106.9,
2010-04,91.4,
2010-05,94.1,
2010-06,97.6,
2010-07,105.8,
2010-08,103.5,
2010-09,101.2,
2010-10,100.5,
2010-11,99.6,
2010-12,90.0,
2011-01,101.8,
2011-02,113.5,
2011-03,108.9,
2011-04,97.6,
2011-05,97.9,
2011-06,98.2,
2011-07,113.5,
2011-08,105.1,
2011-09,103.4,
2011-10,104.1,
2011-11,103.0,
2011-12,92.9,
2012-01,102.9,
2012-02,109.5,
2012-03,113.4,
2012-04,94.4,
2012-05,101.0,
2012-06,102.8,
2012-07,113.1,
2012-08,109.4,
2012-09,105.6,
2012-10,109.7,
2012-11,106.1,
2012-12,95.7,
2013-01,102.7,
2013-02,111.6,
2013-03,108.9,
2013-04,102.7,
2013-05,102.0,
2013-06,100.2,
2013-07,116.0,
2013-08,107.9,
2013-09,112.2,
2013-10,112.8,
2013-11,114.6,
2013-12,97.0,
2014-01,116.7,
2014-02,123.5,
2014-03,113.4,
2014-04,106.9,
2014-05,108.7,
2014-06,109.5,
2014-07,119.4,
2014-08,116.8,
2014-09,114.4,
2014-10,116.8,
2014-11,116.5,
2014-12,99.8,Provisional value
