"",BBEX3.M.VND.USD.CA.AA.A01,BBEX3.M.VND.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Viet Nam / USD 1 = VND ... (buying),
unit,VND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:07,
1990-01,4200.00,
1990-02,4200.00,
1990-03,4250.00,
1990-04,4300.00,
1990-05,4550.00,
1990-06,5000.00,
1990-07,5150.00,
1990-08,5250.00,
1990-09,6300.00,
1990-10,6300.00,
1990-11,6500.00,
1990-12,6825.00,comment
1991-01,7350.00,
1991-02,7350.00,
1991-03,7560.00,
1991-04,7920.00,
1991-05,8030.00,
1991-06,8810.00,
1991-07,9000.00,
1991-08,9545.00,
1991-09,11010.00,
1991-10,12400.00,
1991-11,13020.00,
1991-12,11700.00,
1992-01,11000.00,
1992-02,11480.00,
1992-03,11350.00,
1992-04,11130.00,
1992-05,11150.00,
1992-06,11100.00,
1992-07,10910.00,
1992-08,10770.00,
1992-09,10870.00,
1992-10,10810.00,
1992-11,10710.00,
1992-12,10430.00,
1993-01,10300.00,
1993-02,10490.00,
1993-03,10500.00,
1993-04,10545.00,
1993-05,10565.00,
1993-06,10590.00,
1993-07,10585.00,
1993-08,10710.00,
1993-09,10765.00,
1993-10,10760.00,
1993-11,10830.00,
1993-12,10825.00,
1994-01,10845.00,
1994-02,10860.00,
1994-03,10942.00,
1994-04,10940.00,
1994-05,10950.00,
1994-06,10970.00,
1994-07,10970.00,
1994-08,10975.00,
1994-09,10982.00,
1994-10,10989.00,
1994-11,11032.00,
1994-12,11042.00,
1995-01,11020.00,
1995-02,11025.00,
1995-03,11030.00,
1995-04,11030.00,
1995-05,11030.00,
1995-06,11040.00,
1995-07,11030.00,
1995-08,11025.00,
1995-09,11025.00,
1995-10,10990.00,
1995-11,11000.00,
1995-12,11003.00,
1996-01,11005.00,
1996-02,11005.00,
1996-03,11005.00,
1996-04,11005.00,comment
1996-05,11005.00,
1996-06,11013.00,
1996-07,11017.00,
1996-08,11019.00,
1996-09,11028.00,
1996-10,11065.00,
1996-11,11090.00,
1996-12,11150.00,
1997-01,11173.00,
1997-02,11198.00,
1997-03,11645.00,
1997-04,11649.00,
1997-05,11650.00,
1997-06,11660.00,
1997-07,11674.00,
1997-08,11690.00,
1997-09,11714.00,
1997-10,12006.00,
1997-11,12285.00,
1997-12,12291.00,
1998-01,12291.00,
1998-02,12975.00,
1998-03,12979.00,
1998-04,12982.00,
1998-05,12979.00,
1998-06,12982.00,
1998-07,12988.00,
1998-08,13906.00,
1998-09,13906.00,
1998-10,13906.00,
1998-11,13893.00,
1998-12,13890.00,
1999-01,13877.00,
1999-02,13884.00,
1999-03,13900.00,
1999-04,13904.00,
