"",BBK01.OECI04N,BBK01.OECI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:41,
2002-01,10.239,
2002-04,10.121,
2002-07,10.177,
2002-10,10.772,
2003-01,9.997,
2003-04,9.649,
2003-07,8.500,
2003-10,8.429,
2004-01,8.029,
2004-04,7.981,
2004-07,9.097,
2004-10,9.260,
2005-01,8.959,
2005-04,8.972,
2005-07,9.108,
2005-10,9.905,
2006-01,11.762,
2006-04,13.116,
2006-07,13.178,
2006-10,12.206,
2007-01,12.866,
2007-04,13.828,
2007-07,18.178,
2007-10,21.192,
2008-01,21.867,
2008-04,22.451,
2008-07,22.788,
2008-10,31.625,
2009-01,24.492,
2009-04,19.738,
2009-07,22.957,
2009-10,16.398,
2010-01,11.606,
2010-04,19.169,
2010-07,12.669,
2010-10,16.447,
2011-01,13.042,
2011-04,18.942,
2011-07,16.905,
2011-10,23.223,
2012-01,18.009,
2012-04,23.384,
2012-07,22.791,
2012-10,13.423,
2013-01,11.161,
2013-04,10.308,
2013-07,9.483,
2013-10,7.384,
2014-01,8.750,
2014-04,9.175,
2014-07,7.568,
