"",BBK01.QUV528,BBK01.QUV528_FLAGS
"",Banks in Germany: Short-term loans and advances to non- residents / Slovak Republic / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:11:23,
2001-12,0.055,
2002-01,0.028,
2002-02,0.043,
2002-03,0.025,
2002-04,0.038,
2002-05,0.029,
2002-06,0.033,
2002-07,0.036,
2002-08,0.042,
2002-09,0.046,
2002-10,0.045,
2002-11,0.044,
2002-12,0.082,
2003-01,0.070,
2003-02,0.074,
2003-03,0.077,
2003-04,0.067,
2003-05,0.072,
2003-06,0.116,
2003-07,0.050,
2003-08,0.082,
2003-09,0.045,
2003-10,0.081,
2003-11,0.086,
2003-12,0.182,
2004-01,0.056,
2004-02,0.053,
2004-03,0.068,
2004-04,0.061,
2004-05,0.084,
2004-06,0.062,
2004-07,0.091,
2004-08,0.057,
2004-09,0.092,
2004-10,0.097,
2004-11,0.124,
2004-12,0.120,
2005-01,0.116,
2005-02,0.261,
2005-03,0.289,
2005-04,0.456,
2005-05,0.441,
2005-06,0.281,
2005-07,0.161,
2005-08,0.198,
2005-09,0.261,
2005-10,0.267,
2005-11,0.273,
2005-12,0.374,
2006-01,0.209,
2006-02,0.328,
2006-03,0.242,
2006-04,0.207,
2006-05,0.221,
2006-06,0.262,
2006-07,0.242,
2006-08,0.184,
2006-09,0.195,
2006-10,0.202,
2006-11,0.258,
2006-12,0.305,
2007-01,0.317,
2007-02,0.400,
2007-03,0.247,
2007-04,0.301,
2007-05,0.321,
2007-06,0.487,
2007-07,0.380,
2007-08,0.407,
2007-09,0.451,
2007-10,0.443,
2007-11,0.395,
2007-12,0.536,
2008-01,0.533,
2008-02,0.449,
2008-03,0.427,
2008-04,0.554,
2008-05,0.474,
2008-06,0.402,
2008-07,0.469,
2008-08,0.427,
2008-09,0.435,
2008-10,0.468,
2008-11,0.550,
2008-12,0.529,
2009-01,0.309,
2009-02,0.296,
2009-03,0.292,
2009-04,0.297,
2009-05,0.284,
2009-06,0.322,
2009-07,0.278,
2009-08,0.288,
2009-09,0.228,
2009-10,0.267,
2009-11,0.230,
2009-12,0.249,
2010-01,0.245,
2010-02,0.269,
2010-03,0.272,
2010-04,0.264,
2010-05,0.281,
2010-06,0.264,
2010-07,0.240,
2010-08,0.247,
2010-09,0.242,
2010-10,0.272,
2010-11,0.301,
2010-12,0.226,
2011-01,0.224,
2011-02,0.204,
2011-03,0.209,
2011-04,0.207,
2011-05,0.198,
2011-06,0.227,
2011-07,0.227,
2011-08,0.226,
2011-09,0.213,
2011-10,0.198,
2011-11,0.184,
2011-12,0.197,
2012-01,0.389,
2012-02,0.236,
2012-03,0.771,
2012-04,0.724,
2012-05,0.906,
2012-06,0.838,
2012-07,0.918,
2012-08,1.073,
2012-09,1.434,
2012-10,1.881,
2012-11,1.628,
2012-12,1.281,
2013-01,1.174,
2013-02,0.892,
2013-03,1.277,
2013-04,1.236,
2013-05,1.278,
2013-06,1.583,
2013-07,1.194,
2013-08,1.134,
2013-09,1.077,
2013-10,1.092,
2013-11,1.463,
2013-12,0.397,
2014-01,0.778,
2014-02,1.642,
2014-03,2.441,
2014-04,1.221,
2014-05,0.457,
2014-06,1.616,
2014-07,1.765,
2014-08,1.668,
2014-09,1.726,
2014-10,1.788,
2014-11,1.298,
2014-12,1.563,
