"",BBFN1.M.DE.N.1.L.GB.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:10,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,4.184,
1995-01,4.131,
1995-02,3.991,
1995-03,4.255,
1995-04,4.306,
1995-05,4.270,
1995-06,4.392,
1995-07,4.325,
1995-08,4.351,
1995-09,4.692,
1995-10,4.737,
1995-11,4.710,
1995-12,4.342,
1996-01,4.337,
1996-02,4.276,
1996-03,4.480,
1996-04,4.153,
1996-05,4.275,
1996-06,4.333,
1996-07,4.238,
1996-08,4.234,
1996-09,4.443,
1996-10,4.438,
1996-11,4.624,
1996-12,4.818,
1997-01,4.465,
1997-02,4.571,
1997-03,4.706,
1997-04,4.937,
1997-05,4.895,
1997-06,4.853,
1997-07,4.785,
1997-08,4.634,
1997-09,5.029,
1997-10,5.040,
1997-11,6.018,
1997-12,5.136,
1998-01,4.965,
1998-02,5.300,
1998-03,5.667,
1998-04,5.498,
1998-05,5.550,
1998-06,5.722,
1998-07,5.448,
1998-08,5.194,
1998-09,6.400,
1998-10,5.649,
1998-11,5.412,
1998-12,5.422,
1999-01,5.063,
1999-02,5.014,
1999-03,5.446,
1999-04,5.148,
1999-05,4.989,
1999-06,5.409,
1999-07,5.342,
1999-08,5.340,
1999-09,5.639,
1999-10,5.854,
1999-11,5.850,
1999-12,6.483,
2000-01,6.257,
2000-02,6.662,
2000-03,6.764,
2000-04,6.709,
2000-05,6.705,
2000-06,7.108,
2000-07,6.943,
2000-08,7.288,
2000-09,7.538,
2000-10,7.642,
2000-11,7.756,
2000-12,8.199,
2001-01,7.775,
2001-02,7.890,
2001-03,7.898,
2001-04,7.667,
2001-05,7.942,
2001-06,8.365,
2001-07,8.213,
2001-08,8.166,
2001-09,8.398,
2001-10,8.832,
2001-11,8.214,
2001-12,9.378,
2002-01,7.905,
2002-02,7.929,
2002-03,8.181,
2002-04,7.937,
2002-05,7.781,
2002-06,8.161,
2002-07,7.863,
2002-08,7.893,
2002-09,8.261,
2002-10,8.674,
2002-11,8.609,
2002-12,9.270,
2003-01,8.367,
2003-02,8.815,
2003-03,9.200,
2003-04,9.165,
2003-05,7.883,
2003-06,8.396,
2003-07,8.089,
2003-08,7.752,
2003-09,8.212,
2003-10,8.249,
2003-11,7.941,
2003-12,8.124,
2004-01,7.952,
2004-02,7.708,
2004-03,8.236,
2004-04,7.354,
2004-05,7.859,
2004-06,8.185,
2004-07,8.002,
2004-08,8.006,
2004-09,8.247,
2004-10,8.398,
2004-11,8.599,
2004-12,8.252,
2005-01,7.789,
2005-02,8.006,
2005-03,8.400,
2005-04,8.404,
2005-05,9.023,
2005-06,9.263,
2005-07,10.016,
2005-08,10.831,
2005-09,11.006,
2005-10,10.679,
2005-11,11.220,
2005-12,11.637,
2006-01,11.652,
2006-02,11.757,
2006-03,12.128,
2006-04,11.953,
2006-05,11.714,
2006-06,12.116,
2006-07,12.250,
2006-08,11.447,
2006-09,11.254,
2006-10,11.962,
2006-11,11.687,
2006-12,12.106,
2007-01,11.532,
2007-02,11.523,
2007-03,12.233,
2007-04,11.978,
2007-05,11.407,
2007-06,11.458,
2007-07,11.524,
2007-08,11.045,
2007-09,12.272,
2007-10,11.955,
2007-11,11.664,
2007-12,11.692,
2008-01,11.223,
2008-02,11.665,
2008-03,11.587,
2008-04,12.173,
2008-05,13.313,
2008-06,12.176,
2008-07,12.454,
2008-08,12.258,
2008-09,11.676,
2008-10,11.525,
2008-11,11.031,
2008-12,10.711,
2009-01,10.471,
2009-02,11.303,
2009-03,13.384,
2009-04,9.605,
2009-05,10.583,
2009-06,15.502,
2009-07,15.554,
2009-08,13.291,
2009-09,13.842,
2009-10,14.294,
2009-11,15.421,
2009-12,16.747,
2010-01,10.877,
2010-02,10.375,
2010-03,10.786,
2010-04,10.791,
2010-05,10.874,
2010-06,11.622,
2010-07,11.121,
2010-08,10.516,
2010-09,11.762,
2010-10,11.617,
2010-11,11.367,
2010-12,12.702,
2011-01,13.744,
2011-02,13.776,
2011-03,13.602,
2011-04,13.500,
2011-05,12.844,
2011-06,12.903,
2011-07,12.625,
2011-08,11.944,
2011-09,12.912,
2011-10,13.027,
2011-11,13.635,
2011-12,13.907,
2012-01,12.626,
2012-02,13.037,
2012-03,13.062,
2012-04,13.305,
2012-05,13.429,
2012-06,13.219,
2012-07,13.047,
2012-08,11.914,
2012-09,12.453,
2012-10,12.240,
2012-11,12.841,
2012-12,13.214,
2013-01,12.378,
2013-02,12.201,
2013-03,12.577,
2013-04,11.851,
2013-05,12.461,
2013-06,11.018,
2013-07,12.410,
2013-08,11.870,
2013-09,12.382,
2013-10,12.529,
2013-11,12.260,
2013-12,11.761,
2014-01,11.539,
2014-02,11.889,
2014-03,11.833,
2014-04,11.240,
2014-05,11.732,
2014-06,11.666,
2014-07,11.895,
2014-08,11.631,
2014-09,12.410,
2014-10,12.154,
2014-11,12.768,
2014-12,13.432,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
