"",BBK01.OEBB06J,BBK01.OEBB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:59,
2002-01,1.510,
2002-04,1.606,
2002-07,1.625,
2002-10,1.561,
2003-01,1.548,
2003-04,1.511,
2003-07,1.509,
2003-10,1.228,
2004-01,1.237,
2004-04,1.254,
2004-07,1.190,
2004-10,1.072,
2005-01,1.095,
2005-04,1.103,
2005-07,1.202,
2005-10,1.126,
2006-01,1.205,
2006-04,1.226,
2006-07,1.237,
2006-10,1.229,
2007-01,1.309,
2007-04,1.326,
2007-07,1.350,
2007-10,1.273,
2008-01,1.287,
2008-04,1.338,
2008-07,1.399,
2008-10,1.314,
2009-01,1.324,
2009-04,1.285,
2009-07,1.252,
2009-10,1.194,
2010-01,1.199,
2010-04,1.302,
2010-07,1.323,
2010-10,1.344,
2011-01,1.430,
2011-04,1.536,
2011-07,1.561,
2011-10,1.578,
2012-01,1.600,
2012-04,1.752,
2012-07,1.972,
2012-10,1.745,
2013-01,1.931,
2013-04,1.666,
2013-07,1.689,
2013-10,1.863,
2014-01,1.900,
2014-04,1.900,
2014-07,1.786,
