"",BBK01.OELI02K,BBK01.OELI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:33,
2002-01,1.092,
2002-04,1.088,
2002-07,1.093,
2002-10,1.297,
2003-01,1.259,
2003-04,1.360,
2003-07,1.495,
2003-10,1.615,
2004-01,1.600,
2004-04,1.771,
2004-07,1.790,
2004-10,1.905,
2005-01,2.083,
2005-04,2.236,
2005-07,2.017,
2005-10,2.138,
2006-01,2.137,
2006-04,2.151,
2006-07,2.197,
2006-10,2.152,
2007-01,2.189,
2007-04,2.269,
2007-07,2.244,
2007-10,1.886,
2008-01,2.028,
2008-04,2.048,
2008-07,1.997,
2008-10,1.984,
2009-01,2.087,
2009-04,2.346,
2009-07,2.466,
2009-10,2.648,
2010-01,2.701,
2010-04,3.029,
2010-07,3.168,
2010-10,3.237,
2011-01,3.376,
2011-04,3.248,
2011-07,3.230,
2011-10,3.482,
2012-01,3.378,
2012-04,3.472,
2012-07,3.585,
2012-10,3.893,
2013-01,3.804,
2013-04,4.045,
2013-07,4.259,
2013-10,4.443,
2014-01,4.379,
2014-04,4.534,
2014-07,4.750,
