"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Australia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:10,
2009-09,83,
2009-10,130,
2009-11,112,
2009-12,104,
2010-01,109,
2010-02,109,
2010-03,159,
2010-04,200,
2010-05,200,
2010-06,218,
2010-07,220,
2010-08,244,
2010-09,249,
2010-10,267,
2010-11,278,
2010-12,279,
2011-01,285,
2011-02,324,
2011-03,363,
2011-04,351,
2011-05,378,
2011-06,381,
2011-07,408,
2011-08,428,
2011-09,428,
2011-10,479,
2011-11,516,
2011-12,607,
2012-01,660,
2012-02,676,
2012-03,633,
2012-04,552,
2012-05,542,
2012-06,565,
2012-07,585,
2012-08,555,
2012-09,588,
2012-10,554,
2012-11,594,
2012-12,596,
2013-01,602,
2013-02,618,
2013-03,631,
2013-04,645,
2013-05,589,
2013-06,666,
2013-07,641,
2013-08,640,
2013-09,636,
2013-10,631,
2013-11,585,
2013-12,567,
2014-01,578,
2014-02,555,
2014-03,578,
2014-04,589,
2014-05,570,
2014-06,604,
2014-07,594,
2014-08,627,
2014-09,623,
2014-10,658,
2014-11,658,
