"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Luxembourg / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:50,
2009-09,368,
2009-10,365,
2009-11,355,
2009-12,357,
2010-01,351,
2010-02,311,
2010-03,339,
2010-04,333,
2010-05,295,
2010-06,290,
2010-07,283,
2010-08,239,
2010-09,235,
2010-10,219,
2010-11,269,
2010-12,247,
2011-01,206,
2011-02,211,
2011-03,200,
2011-04,198,
2011-05,228,
2011-06,158,
2011-07,157,
2011-08,142,
2011-09,140,
2011-10,154,
2011-11,140,
2011-12,146,
2012-01,157,
2012-02,174,
2012-03,176,
2012-04,171,
2012-05,199,
2012-06,184,
2012-07,216,
2012-08,176,
2012-09,164,
2012-10,143,
2012-11,106,
2012-12,110,
2013-01,88,
2013-02,83,
2013-03,66,
2013-04,67,
2013-05,69,
2013-06,64,
2013-07,79,
2013-08,80,
2013-09,79,
2013-10,80,
2013-11,87,
2013-12,81,
2014-01,103,
2014-02,85,
2014-03,98,
2014-04,101,
2014-05,106,
2014-06,127,
2014-07,126,
2014-08,122,
2014-09,128,
2014-10,142,
2014-11,121,
