"",BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - residential and non-residential buildings, total / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-15 11:09:24,
1994-01,10.23,
1994-02,9.60,
1994-03,9.52,
1994-04,10.02,
1994-05,9.82,
1994-06,9.79,
1994-07,10.18,
1994-08,9.84,
1994-09,9.41,
1994-10,11.13,
1994-11,10.89,
1994-12,10.23,
1995-01,9.99,
1995-02,9.75,
1995-03,9.48,
1995-04,9.72,
1995-05,9.71,
1995-06,8.77,
1995-07,9.31,
1995-08,9.33,
1995-09,8.66,
1995-10,8.51,
1995-11,8.52,
1995-12,10.10,
1996-01,8.69,
1996-02,8.53,
1996-03,9.38,
1996-04,8.96,
1996-05,8.37,
1996-06,9.01,
1996-07,9.02,
1996-08,8.33,
1996-09,8.82,
1996-10,8.53,
1996-11,8.48,
1996-12,9.43,
1997-01,8.44,
1997-02,9.01,
1997-03,8.42,
1997-04,7.85,
1997-05,8.73,
1997-06,8.16,
1997-07,7.97,
1997-08,8.23,
1997-09,8.57,
1997-10,8.49,
1997-11,8.03,
1997-12,7.87,
1998-01,7.31,
1998-02,7.29,
1998-03,7.48,
1998-04,8.14,
1998-05,8.87,
1998-06,8.63,
1998-07,8.06,
1998-08,8.37,
1998-09,8.21,
1998-10,8.10,
1998-11,7.90,
1998-12,7.93,
1999-01,7.65,
1999-02,7.08,
1999-03,7.66,
1999-04,7.54,
1999-05,7.71,
1999-06,8.03,
1999-07,7.71,
1999-08,8.05,
1999-09,8.10,
1999-10,7.74,
1999-11,7.69,
1999-12,6.82,
2000-01,7.71,
2000-02,6.77,
2000-03,7.34,
2000-04,6.86,
2000-05,6.77,
2000-06,6.87,
2000-07,6.73,
2000-08,6.64,
2000-09,7.04,
2000-10,6.20,
2000-11,6.45,
2000-12,5.96,
2001-01,5.89,
2001-02,6.33,
2001-03,6.52,
2001-04,6.58,
2001-05,6.64,
2001-06,6.22,
2001-07,6.56,
2001-08,6.08,
2001-09,5.92,
2001-10,6.44,
2001-11,6.20,
2001-12,5.41,
2002-01,6.10,
2002-02,6.15,
2002-03,5.55,
2002-04,6.17,
2002-05,5.82,
2002-06,5.70,
2002-07,5.86,
2002-08,5.35,
2002-09,5.53,
2002-10,5.63,
2002-11,5.70,
2002-12,6.85,
2003-01,7.73,
2003-02,6.74,
2003-03,6.34,
2003-04,5.63,
2003-05,6.12,
2003-06,5.86,
2003-07,5.06,
2003-08,5.24,
2003-09,5.26,
2003-10,5.22,
2003-11,5.45,
2003-12,6.51,
2004-01,6.94,
2004-02,6.73,
2004-03,6.17,
2004-04,5.26,
2004-05,4.92,
2004-06,4.97,
2004-07,4.47,
2004-08,4.65,
2004-09,4.67,
2004-10,4.72,
2004-11,4.74,
2004-12,4.87,
2005-01,5.24,
2005-02,4.82,
2005-03,5.04,
2005-04,4.42,
2005-05,4.53,
2005-06,4.35,
2005-07,4.43,
2005-08,4.75,
2005-09,5.00,
2005-10,4.78,
2005-11,5.15,
2005-12,5.40,
2006-01,6.38,
2006-02,5.97,
2006-03,5.94,
2006-04,5.38,
2006-05,5.14,
2006-06,4.88,
2006-07,5.00,
2006-08,4.94,
2006-09,4.80,
2006-10,4.55,
2006-11,4.36,
2006-12,4.27,
2007-01,4.16,
2007-02,3.96,
2007-03,3.96,
2007-04,5.14,
2007-05,4.62,
2007-06,4.45,
2007-07,4.71,
2007-08,4.58,
2007-09,5.04,
2007-10,4.50,
2007-11,5.29,
2007-12,4.72,
2008-01,4.58,
2008-02,4.82,
2008-03,4.83,
2008-04,5.13,
2008-05,5.10,
2008-06,5.31,
2008-07,5.01,
2008-08,4.79,
2008-09,4.71,
2008-10,4.90,
2008-11,4.79,
2008-12,4.73,
2009-01,5.10,
2009-02,4.43,
2009-03,4.73,
2009-04,4.86,
2009-05,4.91,
2009-06,4.74,
2009-07,4.94,
2009-08,5.15,
2009-09,4.73,
2009-10,5.34,
2009-11,5.06,
2009-12,5.32,
2010-01,4.52,
2010-02,4.85,
2010-03,4.74,
2010-04,4.72,
2010-05,4.74,
2010-06,4.97,
2010-07,5.03,
2010-08,5.17,
2010-09,5.09,
2010-10,5.06,
2010-11,5.12,
2010-12,4.58,
2011-01,5.21,
2011-02,5.62,
2011-03,5.80,
2011-04,5.40,
2011-05,5.63,
2011-06,5.58,
2011-07,5.12,
2011-08,5.47,
2011-09,5.71,
2011-10,6.09,
2011-11,6.03,
2011-12,6.22,
2012-01,5.17,
2012-02,5.47,
2012-03,5.61,
2012-04,5.52,
2012-05,6.36,
2012-06,6.54,
2012-07,6.11,
2012-08,5.89,
2012-09,5.90,
2012-10,5.92,
2012-11,5.97,
2012-12,5.85,
2013-01,6.37,
2013-02,6.30,
2013-03,6.17,
2013-04,6.63,
2013-05,6.07,
2013-06,6.08,
2013-07,6.90,
2013-08,6.39,
2013-09,6.99,
2013-10,6.49,
2013-11,6.17,
2013-12,6.16,
2014-01,6.79,
2014-02,6.89,
2014-03,6.49,
2014-04,6.99,
2014-05,6.54,
2014-06,6.20,
2014-07,6.54,
2014-08,6.71,
2014-09,6.27,
2014-10,6.69,
2014-11,6.40,
