"",BBK01.CEL30I,BBK01.CEL30I_FLAGS
"",Debt securities                                  debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:20,
1999-01,4.4,
1999-04,-1.5,
1999-07,-1.3,
1999-10,-5.5,
2000-01,0.4,
2000-04,5.3,
2000-07,11.5,
2000-10,-13.7,
2001-01,-10.6,
2001-04,-6.3,
2001-07,6.6,
2001-10,16.0,
2002-01,-13.8,
2002-04,7.0,
2002-07,-2.7,
2002-10,22.2,
2003-01,5.2,
2003-04,-0.7,
2003-07,3.6,
2003-10,11.1,
2004-01,13.3,
2004-04,10.8,
2004-07,13.6,
2004-10,-3.3,
2005-01,12.3,
2005-04,2.3,
2005-07,5.1,
2005-10,-1.9,
2006-01,9.4,
2006-04,12.9,
2006-07,11.9,
2006-10,8.1,
2007-01,18.6,
2007-04,11.6,
2007-07,4.1,
2007-10,-9.7,
2008-01,-3.2,
2008-04,2.5,
2008-07,0.5,
2008-10,-22.2,
2009-01,-7.5,
2009-04,-4.7,
2009-07,1.0,
2009-10,-1.3,
2010-01,-3.5,
2010-04,-5.0,
2010-07,0.9,
2010-10,-3.8,
2011-01,2.5,
2011-04,1.8,
2011-07,-4.0,
2011-10,-2.2,
2012-01,-2.8,
2012-04,-2.4,
2012-07,-4.7,
2012-10,-7.2,
2013-01,-6.2,
2013-04,-6.5,
2013-07,-2.1,
2013-10,-3.3,
2014-01,-2.6,
2014-04,-2.6,
2014-07,-8.8,
