"",BBK01.OEAE29S,BBK01.OEAE29S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:58,
2002-01,4.168,
2002-04,4.164,
2002-07,4.048,
2002-10,4.033,
2003-01,4.028,
2003-04,4.049,
2003-07,4.052,
2003-10,4.046,
2004-01,4.011,
2004-04,3.934,
2004-07,3.986,
2004-10,2.706,
2005-01,2.711,
2005-04,2.705,
2005-07,2.698,
2005-10,2.709,
2006-01,2.708,
2006-04,2.695,
2006-07,2.700,
2006-10,2.678,
2007-01,2.683,
2007-04,2.675,
2007-07,2.676,
2007-10,2.722,
2008-01,2.750,
2008-04,2.760,
2008-07,2.756,
2008-10,2.758,
2009-01,3.076,
2009-04,3.142,
2009-07,3.148,
2009-10,3.248,
2010-01,3.196,
2010-04,3.229,
2010-07,3.338,
2010-10,3.406,
2011-01,3.407,
2011-04,3.443,
2011-07,3.465,
2011-10,3.486,
2012-01,3.491,
2012-04,3.493,
2012-07,3.495,
2012-10,3.527,
2013-01,3.547,
2013-04,3.597,
2013-07,3.573,
2013-10,3.683,
2014-01,3.662,
2014-04,3.674,
2014-07,3.667,
