"",BBK01.OEYB05Q,BBK01.OEYB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:06,
2002-01,44.227,
2002-04,43.919,
2002-07,40.257,
2002-10,41.365,
2003-01,40.845,
2003-04,48.842,
2003-07,48.928,
2003-10,49.607,
2004-01,48.447,
2004-04,38.424,
2004-07,37.900,
2004-10,40.375,
2005-01,39.416,
2005-04,40.929,
2005-07,40.025,
2005-10,40.209,
2006-01,40.427,
2006-04,43.641,
2006-07,40.347,
2006-10,42.197,
2007-01,45.963,
2007-04,43.774,
2007-07,36.678,
2007-10,36.147,
2008-01,32.430,
2008-04,34.481,
2008-07,32.939,
2008-10,30.501,
2009-01,30.158,
2009-04,30.830,
2009-07,31.472,
2009-10,36.283,
2010-01,34.734,
2010-04,34.883,
2010-07,29.169,
2010-10,29.432,
2011-01,29.736,
2011-04,26.002,
2011-07,21.434,
2011-10,20.928,
2012-01,23.199,
2012-04,24.547,
2012-07,27.028,
2012-10,26.915,
2013-01,24.509,
2013-04,22.441,
2013-07,22.336,
2013-10,27.683,
2014-01,26.709,
2014-04,26.618,
2014-07,26.694,
