"",BBK01.OEXB16R,BBK01.OEXB16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:51,
2002-01,0.765,
2002-04,0.765,
2002-07,0.763,
2002-10,0.762,
2003-01,0.760,
2003-04,0.770,
2003-07,0.764,
2003-10,0.783,
2004-01,0.770,
2004-04,0.771,
2004-07,0.764,
2004-10,0.611,
2005-01,0.616,
2005-04,0.615,
2005-07,0.594,
2005-10,0.611,
2006-01,0.624,
2006-04,0.627,
2006-07,0.640,
2006-10,0.670,
2007-01,0.696,
2007-04,0.682,
2007-07,0.689,
2007-10,0.755,
2008-01,0.751,
2008-04,0.759,
2008-07,0.759,
2008-10,0.770,
2009-01,0.798,
2009-04,0.804,
2009-07,0.809,
2009-10,0.839,
2010-01,0.835,
2010-04,0.853,
2010-07,0.876,
2010-10,0.873,
2011-01,0.879,
2011-04,0.898,
2011-07,0.918,
2011-10,0.949,
2012-01,0.964,
2012-04,0.979,
2012-07,0.980,
2012-10,0.992,
2013-01,1.003,
2013-04,1.014,
2013-07,1.001,
2013-10,1.014,
2014-01,1.045,
2014-04,1.061,
2014-07,1.060,
