"",BBSF2.M.1.S.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Distribution of earnings,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:04,
2004-01,5,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,1,
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,1,
2004-12,17,
2005-01,10,
2005-02,2,
2005-03,18,
2005-04,8,
2005-05,31,
2005-06,21,
2005-07,9,
2005-08,0,
2005-09,6,
2005-10,1,
2005-11,36,
2005-12,568,
2006-01,39,
2006-02,29,
2006-03,158,
2006-04,106,
2006-05,79,
2006-06,138,
2006-07,7,
2006-08,31,
2006-09,28,
2006-10,15,
2006-11,156,
2006-12,749,
2007-01,97,
2007-02,93,
2007-03,219,
2007-04,58,
2007-05,86,
2007-06,215,
2007-07,27,
2007-08,16,
2007-09,34,
2007-10,4,
2007-11,276,
2007-12,970,
2008-01,193,
2008-02,104,
2008-03,84,
2008-04,147,
2008-05,93,
2008-06,125,
2008-07,23,
2008-08,2,
2008-09,30,
2008-10,17,
2008-11,370,
2008-12,1254,
2009-01,166,
2009-02,251,
2009-03,92,
2009-04,139,
2009-05,128,
2009-06,147,
2009-07,139,
2009-08,187,
2009-09,19,
2009-10,147,
2009-11,253,
2009-12,1909,
2010-01,355,
2010-02,206,
2010-03,324,
2010-04,138,
2010-05,143,
2010-06,450,
2010-07,148,
2010-08,159,
2010-09,155,
2010-10,165,
2010-11,490,
2010-12,2031,
2011-01,242,
2011-02,378,
2011-03,241,
2011-04,131,
2011-05,467,
2011-06,449,
2011-07,192,
2011-08,70,
2011-09,207,
2011-10,128,
2011-11,378,
2011-12,2174,
2012-01,237,
2012-02,477,
2012-03,257,
2012-04,210,
2012-05,211,
2012-06,303,
2012-07,271,
2012-08,253,
2012-09,281,
2012-10,281,
2012-11,685,
2012-12,2064,
2013-01,601,
2013-02,561,
2013-03,483,
2013-04,547,
2013-05,317,
2013-06,446,
2013-07,219,
2013-08,469,
2013-09,1952,
2013-10,463,
2013-11,721,
2013-12,2131,
2014-01,419,
2014-02,383,
2014-03,181,
2014-04,395,
2014-05,209,
2014-06,454,
2014-07,77,
2014-08,157,
2014-09,223,
2014-10,729,
2014-11,776,
