"",BBK01.OEAE04R,BBK01.OEAE04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:33,
2002-01,1.062,
2002-04,1.063,
2002-07,1.057,
2002-10,1.088,
2003-01,0.910,
2003-04,0.905,
2003-07,0.933,
2003-10,0.941,
2004-01,0.948,
2004-04,0.985,
2004-07,1.003,
2004-10,0.994,
2005-01,1.008,
2005-04,0.985,
2005-07,0.985,
2005-10,1.004,
2006-01,0.965,
2006-04,0.948,
2006-07,0.959,
2006-10,0.965,
2007-01,0.960,
2007-04,0.952,
2007-07,0.976,
2007-10,0.988,
2008-01,0.972,
2008-04,0.960,
2008-07,0.959,
2008-10,0.970,
2009-01,0.379,
2009-04,0.543,
2009-07,0.588,
2009-10,0.575,
2010-01,0.661,
2010-04,0.675,
2010-07,0.700,
2010-10,0.718,
2011-01,0.727,
2011-04,0.712,
2011-07,0.711,
2011-10,0.714,
2012-01,0.716,
2012-04,0.734,
2012-07,0.749,
2012-10,0.766,
2013-01,0.709,
2013-04,0.730,
2013-07,0.751,
2013-10,0.778,
2014-01,0.777,
2014-04,0.778,
2014-07,0.795,
