"",BBK01.OEHB04J,BBK01.OEHB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:29,
2002-01,7.273,
2002-04,7.431,
2002-07,7.346,
2002-10,7.442,
2003-01,7.450,
2003-04,7.540,
2003-07,7.541,
2003-10,7.659,
2004-01,7.716,
2004-04,7.804,
2004-07,7.841,
2004-10,7.953,
2005-01,8.683,
2005-04,8.684,
2005-07,8.698,
2005-10,8.789,
2006-01,8.725,
2006-04,8.754,
2006-07,8.714,
2006-10,8.733,
2007-01,8.665,
2007-04,8.713,
2007-07,8.753,
2007-10,8.754,
2008-01,8.716,
2008-04,8.799,
2008-07,8.821,
2008-10,8.963,
2009-01,8.811,
2009-04,8.899,
2009-07,8.143,
2009-10,8.242,
2010-01,8.165,
2010-04,8.160,
2010-07,8.153,
2010-10,8.179,
2011-01,8.147,
2011-04,8.253,
2011-07,8.289,
2011-10,8.350,
2012-01,8.330,
2012-04,8.404,
2012-07,8.484,
2012-10,8.454,
2013-01,8.518,
2013-04,8.638,
2013-07,8.623,
2013-10,8.673,
2014-01,8.741,
2014-04,8.843,
2014-07,8.948,
