"",BBFN1.M.DE.N.1.A.CH.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:06,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.894,
1995-01,3.806,
1995-02,3.796,
1995-03,3.976,
1995-04,3.971,
1995-05,3.931,
1995-06,4.254,
1995-07,4.225,
1995-08,4.309,
1995-09,4.466,
1995-10,4.106,
1995-11,4.158,
1995-12,3.861,
1996-01,3.911,
1996-02,3.987,
1996-03,3.778,
1996-04,3.797,
1996-05,3.849,
1996-06,3.849,
1996-07,3.828,
1996-08,3.729,
1996-09,3.939,
1996-10,3.905,
1996-11,3.930,
1996-12,3.821,
1997-01,3.910,
1997-02,4.113,
1997-03,4.032,
1997-04,4.116,
1997-05,4.059,
1997-06,4.151,
1997-07,4.122,
1997-08,4.070,
1997-09,4.283,
1997-10,4.321,
1997-11,4.273,
1997-12,4.018,
1998-01,4.214,
1998-02,4.237,
1998-03,4.397,
1998-04,4.382,
1998-05,4.288,
1998-06,4.278,
1998-07,4.371,
1998-08,4.147,
1998-09,4.349,
1998-10,4.319,
1998-11,4.407,
1998-12,4.238,
1999-01,4.321,
1999-02,4.394,
1999-03,4.768,
1999-04,4.721,
1999-05,4.617,
1999-06,4.764,
1999-07,4.751,
1999-08,4.577,
1999-09,4.591,
1999-10,4.764,
1999-11,4.835,
1999-12,4.691,
2000-01,4.716,
2000-02,4.992,
2000-03,5.213,
2000-04,5.125,
2000-05,4.600,
2000-06,4.695,
2000-07,4.666,
2000-08,4.907,
2000-09,5.091,
2000-10,5.239,
2000-11,5.165,
2000-12,5.449,
2001-01,5.380,
2001-02,5.360,
2001-03,5.362,
2001-04,5.406,
2001-05,5.508,
2001-06,5.729,
2001-07,5.525,
2001-08,5.457,
2001-09,5.488,
2001-10,5.866,
2001-11,5.580,
2001-12,5.423,
2002-01,5.436,
2002-02,5.390,
2002-03,5.028,
2002-04,5.176,
2002-05,5.048,
2002-06,5.171,
2002-07,4.901,
2002-08,5.237,
2002-09,5.211,
2002-10,5.510,
2002-11,5.442,
2002-12,5.281,
2003-01,5.560,
2003-02,5.566,
2003-03,5.636,
2003-04,5.776,
2003-05,5.619,
2003-06,6.073,
2003-07,5.781,
2003-08,5.482,
2003-09,5.838,
2003-10,6.051,
2003-11,5.944,
2003-12,5.710,
2004-01,5.666,
2004-02,5.833,
2004-03,6.080,
2004-04,6.088,
2004-05,5.954,
2004-06,6.157,
2004-07,6.188,
2004-08,5.840,
2004-09,6.097,
2004-10,5.975,
2004-11,6.034,
2004-12,5.802,
2005-01,5.935,
2005-02,6.019,
2005-03,6.149,
2005-04,6.083,
2005-05,6.120,
2005-06,6.748,
2005-07,6.640,
2005-08,6.388,
2005-09,6.572,
2005-10,6.798,
2005-11,7.048,
2005-12,7.053,
2006-01,7.455,
2006-02,7.239,
2006-03,7.452,
2006-04,7.182,
2006-05,7.266,
2006-06,7.146,
2006-07,7.102,
2006-08,6.902,
2006-09,7.182,
2006-10,7.288,
2006-11,7.462,
2006-12,7.229,
2007-01,7.691,
2007-02,7.573,
2007-03,7.611,
2007-04,7.665,
2007-05,7.644,
2007-06,7.892,
2007-07,7.584,
2007-08,7.586,
2007-09,8.063,
2007-10,8.207,
2007-11,8.014,
2007-12,7.873,
2008-01,7.717,
2008-02,7.922,
2008-03,8.074,
2008-04,7.995,
2008-05,7.859,
2008-06,7.874,
2008-07,7.814,
2008-08,7.828,
2008-09,7.610,
2008-10,7.585,
2008-11,7.782,
2008-12,6.892,
2009-01,6.626,
2009-02,6.814,
2009-03,6.881,
2009-04,6.766,
2009-05,7.002,
2009-06,7.136,
2009-07,7.173,
2009-08,6.610,
2009-09,7.137,
2009-10,6.974,
2009-11,7.541,
2009-12,7.036,
2010-01,6.952,
2010-02,7.177,
2010-03,7.539,
2010-04,7.554,
2010-05,7.289,
2010-06,7.819,
2010-07,7.730,
2010-08,7.594,
2010-09,7.691,
2010-10,7.852,
2010-11,8.031,
2010-12,7.686,
2011-01,7.861,
2011-02,7.769,
2011-03,8.155,
2011-04,8.025,
2011-05,8.329,
2011-06,8.781,
2011-07,8.145,
2011-08,7.940,
2011-09,8.559,
2011-10,9.147,
2011-11,8.554,
2011-12,8.558,
2012-01,8.314,
2012-02,8.333,
2012-03,8.797,
2012-04,8.257,
2012-05,8.191,
2012-06,8.713,
2012-07,8.473,
2012-08,8.568,
2012-09,8.805,
2012-10,8.728,
2012-11,8.903,
2012-12,8.506,
2013-01,8.657,
2013-02,8.943,
2013-03,9.148,
2013-04,8.880,
2013-05,8.689,
2013-06,9.043,
2013-07,8.497,
2013-08,8.670,
2013-09,9.060,
2013-10,9.283,
2013-11,9.491,
2013-12,9.287,
2014-01,9.055,
2014-02,9.240,
2014-03,9.443,
2014-04,9.357,
2014-05,9.416,
2014-06,9.428,
2014-07,9.170,
2014-08,8.897,
2014-09,9.491,
2014-10,9.353,
2014-11,9.738,
2014-12,9.340,
