"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:38,
2009-09,7260,
2009-10,7402,
2009-11,7450,
2009-12,7218,
2010-01,6829,
2010-02,7139,
2010-03,7530,
2010-04,6457,
2010-05,6205,
2010-06,5987,
2010-07,6204,
2010-08,6271,
2010-09,6043,
2010-10,6092,
2010-11,5520,
2010-12,5546,
2011-01,5389,
2011-02,5330,
2011-03,4977,
2011-04,4348,
2011-05,4150,
2011-06,3845,
2011-07,3415,
2011-08,3180,
2011-09,3115,
2011-10,3147,
2011-11,2895,
2011-12,2896,
2012-01,2509,
2012-02,2611,
2012-03,2313,
2012-04,2136,
2012-05,1861,
2012-06,1842,
2012-07,1653,
2012-08,1747,
2012-09,1698,
2012-10,1658,
2012-11,1668,
2012-12,2138,
2013-01,2550,
2013-02,2555,
2013-03,2572,
2013-04,2636,
2013-05,2603,
2013-06,2449,
2013-07,2363,
2013-08,2359,
2013-09,2237,
2013-10,2317,
2013-11,2594,
2013-12,2497,
2014-01,2764,
2014-02,2907,
2014-03,3080,
2014-04,3200,
2014-05,3285,
2014-06,3412,
2014-07,3438,
2014-08,3453,
2014-09,3525,
2014-10,3534,
2014-11,3440,
