"",BBSF2.M.1.S.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:41,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,22,
1993-05,22,
1993-06,22,
1993-07,33,
1993-08,34,
1993-09,35,
1993-10,36,
1993-11,36,
1993-12,35,
1994-01,34,
1994-02,34,
1994-03,33,
1994-04,33,
1994-05,33,
1994-06,37,
1994-07,38,
1994-08,37,
1994-09,37,
1994-10,52,
1994-11,59,
1994-12,66,
1995-01,67,
1995-02,72,
1995-03,85,
1995-04,89,
1995-05,90,
1995-06,89,
1995-07,88,
1995-08,89,
1995-09,89,
1995-10,91,
1995-11,94,
1995-12,97,
1996-01,116,
1996-02,107,
1996-03,101,
1996-04,102,
1996-05,106,
1996-06,111,
1996-07,115,
1996-08,115,
1996-09,137,
1996-10,89,
1996-11,90,
1996-12,90,
1997-01,89,
1997-02,89,
1997-03,86,
1997-04,86,
1997-05,86,
1997-06,86,
1997-07,88,
1997-08,85,
1997-09,85,
1997-10,86,
1997-11,88,
1997-12,103,
1998-01,86,
1998-02,91,
1998-03,91,
1998-04,91,
1998-05,96,
1998-06,98,
1998-07,112,
1998-08,113,
1998-09,168,
1998-10,164,
1998-11,192,
1998-12,202,
1999-01,228,
1999-02,231,
1999-03,232,
1999-04,233,
1999-05,233,
1999-06,241,
1999-07,236,
1999-08,231,
1999-09,231,
1999-10,234,
1999-11,223,
1999-12,223,
2000-01,236,
2000-02,237,
2000-03,247,
2000-04,245,
2000-05,251,
2000-06,244,
2000-07,244,
2000-08,243,
2000-09,232,
2000-10,229,
2000-11,230,
2000-12,230,
2001-01,232,
2001-02,226,
2001-03,221,
2001-04,215,
2001-05,216,
2001-06,208,
2001-07,215,
2001-08,214,
2001-09,214,
2001-10,223,
2001-11,200,
2001-12,198,
2002-01,212,
2002-02,209,
2002-03,237,
2002-04,238,
2002-05,250,
2002-06,257,
2002-07,236,
2002-08,233,
2002-09,235,
2002-10,228,
2002-11,327,
2002-12,310,
2003-01,255,
2003-02,230,
2003-03,216,
2003-04,228,
2003-05,230,
2003-06,230,
2003-07,208,
2003-08,205,
2003-09,217,
2003-10,213,
2003-11,203,
2003-12,163,
2004-01,160,
2004-02,167,
2004-03,180,
2004-04,182,
2004-05,154,
2004-06,152,
2004-07,175,
2004-08,175,
2004-09,175,
2004-10,184,
2004-11,163,
2004-12,455,
2005-01,455,
2005-02,550,
2005-03,569,
2005-04,888,
2005-05,767,
2005-06,778,
2005-07,866,
2005-08,874,
2005-09,1004,
2005-10,992,
2005-11,969,
2005-12,919,
2006-01,915,
2006-02,912,
2006-03,974,
2006-04,1072,
2006-05,1089,
2006-06,1127,
2006-07,1126,
2006-08,1171,
2006-09,1301,
2006-10,1271,
2006-11,1188,
2006-12,1029,
2007-01,1069,
2007-02,1093,
2007-03,1031,
2007-04,1013,
2007-05,1042,
2007-06,1068,
2007-07,1124,
2007-08,1114,
2007-09,1341,
2007-10,1299,
2007-11,1280,
2007-12,1273,
2008-01,1240,
2008-02,1156,
2008-03,1148,
2008-04,1137,
2008-05,1141,
2008-06,1131,
2008-07,1133,
2008-08,1177,
2008-09,1194,
2008-10,1190,
2008-11,1262,
2008-12,1288,
2009-01,1267,
2009-02,1679,
2009-03,1641,
2009-04,1671,
2009-05,1685,
2009-06,1695,
2009-07,1735,
2009-08,1747,
2009-09,1641,
2009-10,1657,
2009-11,1715,
2009-12,1794,
2010-01,1818,
2010-02,1810,
2010-03,1755,
2010-04,1645,
2010-05,1676,
2010-06,1649,
2010-07,1645,
2010-08,1642,
2010-09,1645,
2010-10,1628,
2010-11,1655,
2010-12,1660,
2011-01,1671,
2011-02,1696,
2011-03,1712,
2011-04,1668,
2011-05,1708,
2011-06,1666,
2011-07,1592,
2011-08,1589,
2011-09,1618,
2011-10,1977,
2011-11,1890,
2011-12,2086,
2012-01,2104,
2012-02,2110,
2012-03,2077,
2012-04,2092,
2012-05,2077,
2012-06,2110,
2012-07,2101,
2012-08,2148,
2012-09,2188,
2012-10,2274,
2012-11,2435,
2012-12,2451,
2013-01,2566,
2013-02,2725,
2013-03,2749,
2013-04,3179,
2013-05,2787,
2013-06,2751,
2013-07,2756,
2013-08,2887,
2013-09,2894,
2013-10,2881,
2013-11,2794,
2013-12,2772,
2014-01,2818,
2014-02,2777,
2014-03,2980,
2014-04,2914,
2014-05,2946,
2014-06,3114,
2014-07,3104,
2014-08,3095,
2014-09,3049,
2014-10,3083,
2014-11,3133,
