"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:44,
1970-06,-,Nothing exists
1970-07,307,
1970-08,326,
1970-09,338,
1970-10,352,
1970-11,368,
1970-12,397,
1971-01,431,
1971-02,450,
1971-03,473,
1971-04,466,
1971-05,464,
1971-06,464,
1971-07,482,
1971-08,482,
1971-09,481,
1971-10,488,
1971-11,501,
1971-12,533,
1972-01,570,
1972-02,635,
1972-03,654,
1972-04,653,
1972-05,696,
1972-06,715,
1972-07,775,
1972-08,782,
1972-09,783,
1972-10,772,
1972-11,794,
1972-12,821,
1973-01,881,
1973-02,881,
1973-03,928,
1973-04,921,
1973-05,858,
1973-06,859,
1973-07,866,
1973-08,904,
1973-09,928,
1973-10,980,
1973-11,997,
1973-12,1013,
1974-01,1040,
1974-02,1002,
1974-03,1005,
1974-04,1041,
1974-05,1044,
1974-06,1069,
1974-07,1084,
1974-08,1131,
1974-09,1122,
1974-10,1156,
1974-11,1220,
1974-12,1365,
1975-01,1569,
1975-02,1699,
1975-03,1731,
1975-04,1827,
1975-05,1838,
1975-06,1910,
1975-07,1987,
1975-08,1945,
1975-09,1986,
1975-10,2091,
1975-11,2227,
1975-12,2352,
1976-01,2467,
1976-02,2502,
1976-03,2639,
1976-04,2614,
1976-05,2602,
1976-06,2691,
1976-07,2707,
1976-08,2766,
1976-09,2809,
1976-10,2760,
1976-11,2897,
1976-12,2992,
1977-01,3045,
1977-02,3054,
1977-03,3227,
1977-04,3410,
1977-05,3458,
1977-06,3504,
1977-07,3594,
1977-08,3728,
1977-09,3770,
1977-10,3895,
1977-11,4006,
1977-12,4111,
1978-01,4251,
1978-02,4377,
1978-03,4453,
1978-04,4487,
1978-05,4593,
1978-06,4695,
1978-07,4770,
1978-08,4884,
1978-09,5099,
1978-10,5020,
1978-11,5022,
1978-12,5046,
1979-01,5153,
1979-02,5089,
1979-03,5166,
1979-04,5220,
1979-05,5063,
1979-06,5101,
1979-07,5317,
1979-08,5535,
1979-09,5595,
1979-10,5421,
1979-11,5581,
1979-12,5608,
1980-01,5742,
1980-02,5634,
1980-03,5403,
1980-04,5739,
1980-05,6010,
1980-06,6278,
1980-07,6625,
1980-08,6614,
1980-09,6606,
1980-10,6669,
1980-11,6667,
1980-12,6552,
1981-01,6600,
1981-02,6391,
1981-03,6647,
1981-04,6868,
1981-05,6818,
1981-06,7169,
1981-07,7306,
1981-08,7231,
1981-09,7202,
1981-10,7371,
1981-11,7761,
1981-12,7824,
1982-01,7998,
1982-02,8194,
1982-03,8629,
1982-04,8873,
1982-05,8857,
1982-06,8787,
1982-07,9136,
1982-08,9498,
1982-09,9724,
1982-10,10103,
1982-11,10126,
1982-12,10553,
1983-01,10631,
1983-02,10960,
1983-03,11668,
1983-04,12122,
1983-05,11884,
1983-06,12117,
1983-07,12508,
1983-08,12233,
1983-09,12469,
1983-10,12781,
1983-11,12948,
1983-12,13173,
1984-01,13703,
1984-02,13412,
1984-03,13577,
1984-04,13818,
1984-05,13606,
1984-06,13947,
1984-07,13942,
1984-08,14584,
1984-09,15087,
1984-10,15556,
1984-11,15791,
1984-12,16038,
1985-01,16347,
1985-02,16617,
1985-03,16984,
1985-04,17581,
1985-05,18466,
1985-06,18963,
1985-07,18953,
1985-08,19698,
1985-09,20140,
1985-10,21035,
1985-11,21322,
1985-12,22681,
1986-01,22697,
1986-02,23354,
1986-03,25029,
1986-04,26030,
1986-05,25440,
1986-06,25416,
1986-07,25281,
1986-08,27102,
1986-09,25890,
1986-10,26140,
1986-11,27280,
1986-12,28280,
1987-01,27628,
1987-02,27645,
1987-03,29494,
1987-04,30239,
1987-05,31002,
1987-06,31416,
1987-07,33058,
1987-08,33514,
1987-09,33999,
1987-10,31402,
1987-11,30914,
1987-12,31609,
1988-01,31061,
1988-02,33080,
1988-03,33752,
1988-04,34082,
1988-05,34356,
1988-06,35176,
1988-07,35797,
1988-08,36695,
1988-09,38255,
1988-10,39135,
1988-11,38520,
1988-12,39796,
1989-01,40399,
1989-02,39939,
1989-03,40926,
1989-04,42680,
1989-05,43243,
1989-06,44090,
1989-07,45627,
1989-08,46544,
1989-09,46629,
1989-10,45580,
1989-11,46441,
1989-12,48811,
1990-01,49506,
1990-02,49443,
1990-03,51154,
1990-04,50613,
1990-05,52155,
1990-06,52935,
1990-07,53801,
1990-08,51563,
1990-09,49092,
1990-10,50015,
1990-11,50283,
1990-12,49682,
1991-01,51119,
1991-02,53484,
1991-03,55440,
1991-04,57675,
1991-05,59926,
1991-06,59288,
1991-07,61262,
1991-08,63373,
1991-09,63938,
1991-10,64312,
1991-11,63931,
1991-12,63923,
1992-01,67385,
1992-02,70117,
1992-03,70429,
1992-04,71844,
1992-05,74319,
1992-06,73949,
1992-07,73848,
1992-08,72940,
1992-09,72818,
1992-10,74083,
1992-11,74817,
1992-12,75799,
1993-01,77727,
1993-02,83268,
1993-03,85558,
1993-04,86483,
1993-05,88434,
1993-06,90946,
1993-07,93936,
1993-08,98892,
1993-09,98771,
1993-10,103406,
1993-11,104430,
1993-12,109499,
1994-01,110508,
1994-02,111016,
1994-03,112178,
1994-04,115814,
1994-05,115088,
1994-06,115700,
1994-07,119090,
1994-08,119399,
1994-09,115540,
1994-10,117463,
1994-11,119666,
1994-12,119670,
1995-01,120397,
1995-02,122237,
1995-03,121756,
1995-04,124319,
1995-05,126366,
1995-06,125699,
1995-07,131528,
1995-08,134722,
1995-09,135668,
1995-10,137271,
1995-11,140805,
1995-12,143160,
1996-01,150411,
1996-02,151022,
1996-03,154707,
1996-04,161535,
1996-05,162755,
1996-06,164638,
1996-07,163276,
1996-08,167956,
1996-09,172851,
1996-10,175093,
1996-11,184237,
1996-12,186085,
1997-01,195508,
1997-02,206696,
1997-03,209286,
1997-04,215291,
1997-05,219047,
1997-06,234547,
1997-07,249819,
1997-08,242354,
1997-09,251825,
1997-10,245146,
1997-11,251327,
1997-12,261694,
1998-01,274025,
1998-02,289540,
1998-03,303424,
1998-04,304426,
1998-05,317491,
1998-06,327892,
1998-07,335814,
1998-08,320633,
1998-09,311712,
1998-10,316229,
1998-11,335947,
1998-12,341569,
1999-01,358168,
1999-02,356407,
1999-03,362736,
1999-04,382288,
1999-05,376661,
1999-06,384851,
1999-07,380080,
1999-08,388979,
1999-09,381147,
1999-10,393210,
1999-11,414219,
1999-12,445010,
2000-01,438615,
2000-02,458265,
2000-03,468200,
2000-04,470830,
2000-05,465529,
2000-06,466199,
2000-07,476173,
2000-08,488699,
2000-09,483522,
2000-10,490055,
2000-11,476200,
2000-12,476459,
2001-01,487868,
2001-02,468769,
2001-03,464415,
2001-04,476052,
2001-05,475406,
2001-06,469470,
2001-07,467006,
2001-08,452375,
2001-09,427446,
2001-10,444713,
2001-11,451990,
2001-12,459065,
2002-01,461202,
2002-02,462380,
2002-03,466300,
2002-04,463331,
2002-05,458007,
2002-06,440176,
2002-07,428144,
2002-08,433100,
2002-09,416869,
2002-10,426743,
2002-11,430322,
2002-12,422034,
2003-01,424194,
2003-02,424029,
2003-03,419844,
2003-04,433160,
2003-05,441725,
2003-06,449101,
2003-07,453188,
2003-08,458200,
2003-09,457294,
2003-10,463029,
2003-11,463732,
