"",BBK01.SUD253,BBK01.SUD253_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 5 and up to 10 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:48,
2010-06,2274,
2010-07,2892,
2010-08,2238,
2010-09,2391,
2010-10,2536,
2010-11,2577,
2010-12,3615,
2011-01,3013,
2011-02,2250,
2011-03,3498,
2011-04,3622,
2011-05,2331,
2011-06,2226,
2011-07,3605,
2011-08,2296,
2011-09,2689,
2011-10,2865,
2011-11,2958,
2011-12,4216,
2012-01,2954,
2012-02,2049,
2012-03,2628,
2012-04,2914,
2012-05,2321,
2012-06,2441,
2012-07,3745,
2012-08,2530,
2012-09,2195,
2012-10,2929,
2012-11,2305,
2012-12,3856,
2013-01,3330,
2013-02,2861,
2013-03,2477,
2013-04,3078,
2013-05,1812,
2013-06,2765,
2013-07,4417,
2013-08,2717,
2013-09,3002,
2013-10,2989,
2013-11,2919,
2013-12,4852,
2014-01,3147,
2014-02,2153,
2014-03,2744,
2014-04,3177,
2014-05,2154,
2014-06,3001,
2014-07,3465,
2014-08,2496,
2014-09,3108,
2014-10,3977,
2014-11,2397,
2014-12,6019,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
