"",BBSF2.M.1.S.00000.TOT01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Not defined / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:19,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,94910,
1993-05,96668,
1993-06,98989,
1993-07,103008,
1993-08,107661,
1993-09,108498,
1993-10,113409,
1993-11,114683,
1993-12,119178,
1994-01,121544,
1994-02,121006,
1994-03,121659,
1994-04,126279,
1994-05,125342,
1994-06,125635,
1994-07,129545,
1994-08,131017,
1994-09,127839,
1994-10,130058,
1994-11,130612,
1994-12,130468,
1995-01,131636,
1995-02,134364,
1995-03,134934,
1995-04,138322,
1995-05,142074,
1995-06,142015,
1995-07,146250,
1995-08,148534,
1995-09,149885,
1995-10,150327,
1995-11,154701,
1995-12,157917,
1996-01,165821,
1996-02,167975,
1996-03,171274,
1996-04,175592,
1996-05,178140,
1996-06,179900,
1996-07,180531,
1996-08,184553,
1996-09,188771,
1996-10,192920,
1996-11,199140,
1996-12,201666,
1997-01,211347,
1997-02,221089,
1997-03,226200,
1997-04,231167,
1997-05,236494,
1997-06,250186,
1997-07,266493,
1997-08,260707,
1997-09,269725,
1997-10,264724,
1997-11,270331,
1997-12,281755,
1998-01,295876,
1998-02,308225,
1998-03,323278,
1998-04,325247,
1998-05,338737,
1998-06,348007,
1998-07,356341,
1998-08,342817,
1998-09,337402,
1998-10,345625,
1998-11,363208,
1998-12,369432,
1999-01,382462,
1999-02,381768,
1999-03,386997,
1999-04,406561,
1999-05,404266,
1999-06,412415,
1999-07,408096,
1999-08,416225,
1999-09,411364,
1999-10,423177,
1999-11,442727,
1999-12,473520,
2000-01,472313,
2000-02,490931,
2000-03,499687,
2000-04,503659,
2000-05,501489,
2000-06,499185,
2000-07,506671,
2000-08,518966,
2000-09,513342,
2000-10,520413,
2000-11,507832,
2000-12,509961,
2001-01,521238,
2001-02,504966,
2001-03,498015,
2001-04,510593,
2001-05,510327,
2001-06,504748,
2001-07,502212,
2001-08,492114,
2001-09,471539,
2001-10,488917,
2001-11,497749,
2001-12,503557,
2002-01,502799,
2002-02,502972,
2002-03,506712,
2002-04,504873,
2002-05,501400,
2002-06,487199,
2002-07,476677,
2002-08,482160,
2002-09,471034,
2002-10,482344,
2002-11,491477,
2002-12,477507,
2003-01,479278,
2003-02,478516,
2003-03,477715,
2003-04,490191,
2003-05,499319,
2003-06,506118,
2003-07,507759,
2003-08,512682,
2003-09,514201,
2003-10,518158,
2003-11,518820,
2003-12,522707,
2004-01,529886,
2004-02,535074,
2004-03,535984,
2004-04,536109,
2004-05,530578,
2004-06,534319,
2004-07,532079,
2004-08,535270,
2004-09,536622,
2004-10,541112,
2004-11,547084,
2004-12,547820,
2005-01,556985,
2005-02,561345,
2005-03,563178,
2005-04,564499,
2005-05,576327,
2005-06,589221,
2005-07,597830,
2005-08,601331,
2005-09,610515,
2005-10,603877,
2005-11,611672,
2005-12,619085,
2006-01,627312,
2006-02,634173,
2006-03,636268,
2006-04,637211,
2006-05,631307,
2006-06,631658,
2006-07,638596,
2006-08,647349,
2006-09,659012,
2006-10,665145,
2006-11,668083,
2006-12,667928,
2007-01,674283,
2007-02,677785,
2007-03,681358,
2007-04,691277,
2007-05,694152,
2007-06,692709,
2007-07,691487,
2007-08,691132,
2007-09,693426,
2007-10,705238,
2007-11,692179,
2007-12,687620,
2008-01,672308,
2008-02,672939,
2008-03,664243,
2008-04,672823,
2008-05,675071,
2008-06,655482,
2008-07,658855,
2008-08,667290,
2008-09,652590,
2008-10,629622,
2008-11,638378,
2008-12,630736,
2009-01,630997,
2009-02,622084,
2009-03,626642,
2009-04,639297,
2009-05,641150,
2009-06,645294,
2009-07,664933,
2009-08,674582,
2009-09,689313,
2009-10,691138,
2009-11,698944,
2009-12,706711,
2010-01,713379,
2010-02,719604,
2010-03,733704,
2010-04,739030,
2010-05,739731,
2010-06,741427,
2010-07,752208,
2010-08,772506,
2010-09,778502,
2010-10,786778,
2010-11,782635,
2010-12,786687,
2011-01,787332,
2011-02,793386,
2011-03,789405,
2011-04,794460,
2011-05,797910,
2011-06,794572,
2011-07,801176,
2011-08,791459,
2011-09,785159,
2011-10,798244,
2011-11,790563,
2011-12,806062,
2012-01,822122,
2012-02,846860,
2012-03,852590,
2012-04,856898,
2012-05,859714,
2012-06,867572,
2012-07,899094,
2012-08,911591,
2012-09,918749,
2012-10,928817,
2012-11,939683,
2012-12,957410,
2013-01,962136,
2013-02,972158,
2013-03,987012,
2013-04,1006681,
2013-05,1003990,
2013-06,983185,
2013-07,1003568,
2013-08,998533,
2013-09,1012585,
2013-10,1030465,
2013-11,1041139,
2013-12,1039303,
2014-01,1046390,
2014-02,1064167,
2014-03,1077520,
2014-04,1086541,
2014-05,1107282,
2014-06,1117365,
2014-07,1129526,
2014-08,1151671,
2014-09,1153385,
2014-10,1162765,
2014-11,1184214,
