"",BBK01.OEXJ05L,BBK01.OEXJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:49,
2002-01,12.479,
2002-04,12.848,
2002-07,13.058,
2002-10,13.154,
2003-01,13.355,
2003-04,13.219,
2003-07,13.484,
2003-10,13.779,
2004-01,14.503,
2004-04,15.053,
2004-07,15.213,
2004-10,15.653,
2005-01,15.807,
2005-04,16.023,
2005-07,16.327,
2005-10,19.032,
2006-01,23.108,
2006-04,23.933,
2006-07,24.379,
2006-10,24.859,
2007-01,25.639,
2007-04,26.389,
2007-07,27.143,
2007-10,27.364,
2008-01,27.190,
2008-04,26.371,
2008-07,26.277,
2008-10,23.778,
2009-01,23.411,
2009-04,24.270,
2009-07,24.875,
2009-10,25.056,
2010-01,24.908,
2010-04,26.118,
2010-07,30.839,
2010-10,52.159,
2011-01,51.767,
2011-04,51.444,
2011-07,51.356,
2011-10,50.806,
2012-01,49.984,
2012-04,47.270,
2012-07,46.482,
2012-10,45.394,
2013-01,45.148,
2013-04,44.170,
2013-07,43.099,
2013-10,42.139,
2014-01,41.386,
2014-04,40.900,
2014-07,40.234,
