"",BBK01.OEAH24N,BBK01.OEAH24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:20,
2002-01,24.279,
2002-04,24.530,
2002-07,24.286,
2002-10,23.832,
2003-01,23.536,
2003-04,23.416,
2003-07,23.303,
2003-10,23.388,
2004-01,23.565,
2004-04,23.695,
2004-07,23.788,
2004-10,23.660,
2005-01,23.331,
2005-04,23.187,
2005-07,22.666,
2005-10,22.078,
2006-01,21.631,
2006-04,21.347,
2006-07,20.932,
2006-10,20.578,
2007-01,20.184,
2007-04,19.806,
2007-07,19.461,
2007-10,18.860,
2008-01,18.082,
2008-04,17.692,
2008-07,17.106,
2008-10,16.964,
2009-01,16.798,
2009-04,17.261,
2009-07,17.778,
2009-10,18.706,
2010-01,19.727,
2010-04,20.424,
2010-07,20.197,
2010-10,20.265,
2011-01,20.453,
2011-04,21.270,
2011-07,21.678,
2011-10,21.594,
2012-01,21.778,
2012-04,21.779,
2012-07,21.620,
2012-10,20.945,
2013-01,20.019,
2013-04,18.975,
2013-07,18.661,
2013-10,18.236,
2014-01,17.768,
2014-04,16.731,
2014-07,15.952,
