"",BBK01.OEAA48T,BBK01.OEAA48T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:36,
2002-01,0.526,
2002-04,0.526,
2002-07,0.526,
2002-10,0.542,
2003-01,0.544,
2003-04,0.543,
2003-07,0.536,
2003-10,0.517,
2004-01,0.805,
2004-04,0.771,
2004-07,0.762,
2004-10,0.591,
2005-01,0.578,
2005-04,0.575,
2005-07,0.586,
2005-10,0.579,
2006-01,0.564,
2006-04,0.554,
2006-07,0.521,
2006-10,0.512,
2007-01,0.499,
2007-04,0.490,
2007-07,0.475,
2007-10,0.445,
2008-01,0.426,
2008-04,0.420,
2008-07,0.408,
2008-10,0.401,
2009-01,0.380,
2009-04,0.367,
2009-07,0.366,
2009-10,0.372,
2010-01,0.356,
2010-04,0.350,
2010-07,0.320,
2010-10,0.309,
2011-01,0.295,
2011-04,0.284,
2011-07,0.272,
2011-10,0.265,
2012-01,0.254,
2012-04,0.249,
2012-07,0.230,
2012-10,0.223,
2013-01,0.209,
2013-04,0.196,
2013-07,0.178,
2013-10,0.157,
2014-01,0.144,
2014-04,0.146,
2014-07,0.138,
