"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:35,
1991-01,-44.051,
1991-04,-39.936,
1991-07,5.152,
1991-10,5.152,
1992-01,-22.123,
1992-04,-57.416,
1992-07,-47.844,
1992-10,-39.102,
1993-01,-116.737,
1993-04,-95.496,
1993-07,-88.980,
1993-10,-89.251,
1994-01,-80.122,
1994-04,-81.078,
1994-07,-78.344,
1994-10,-78.741,
1995-01,9.812,
1995-04,4.090,
1995-07,7.534,
1995-10,9.812,
1996-01,-13.256,
1996-04,-7.912,
1996-07,-5.761,
1996-10,-31.643,
1997-01,-59.791,
1997-04,-58.554,
1997-07,-51.129,
1997-10,-51.859,
1998-01,-54.566,
1998-04,-51.441,
1998-07,-51.129,
1998-10,-52.303,
1999-01,-144.482,
1999-04,-71.593,
1999-07,-61.999,
1999-10,-60.728,
2000-01,-6.898,
2000-04,-24.011,
2000-07,-6.639,
2000-10,-9.362,
2001-01,13.108,
2001-04,-15.401,
2001-07,26.307,
2001-10,-8.892,
2002-01,-3.270,
2002-04,4.237,
2002-07,13.789,
2002-10,54.042,
2003-01,38.974,
2003-04,-70.172,
2003-07,50.403,
2003-10,75.627,
2004-01,155.515,
2004-04,128.121,
2004-07,152.088,
2004-10,172.268,
2005-01,15.865,
2005-04,22.664,
2005-07,8.003,
2005-10,-12.999,
2006-01,69.329,
2006-04,85.716,
2006-07,62.445,
2006-10,76.533,
2007-01,174.261,
2007-04,134.020,
2007-07,28.533,
2007-10,89.804,
2008-01,-318.554,
2008-04,66.383,
2008-07,146.344,
2008-10,32.523,
2009-01,-84.294,
2009-04,-59.157,
2009-07,-106.740,
2009-10,-111.188,
2010-01,78.942,
2010-04,24.955,
2010-07,82.500,
2010-10,112.808,
2011-01,77.642,
2011-04,73.228,
2011-07,72.017,
2011-10,116.110,
2012-01,110.386,
2012-04,113.705,
2012-07,80.994,
2012-10,136.304,
2013-01,86.190,
2013-04,21.800,
2013-07,25.230,
2013-10,96.397,
2014-01,98.162,Provisional value
2014-04,36.385,Provisional value
2014-07,34.206,Provisional value
2014-10,97.887,Provisional value
