"",BBK01.OEBB10P,BBK01.OEBB10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:04,
2002-01,0.778,
2002-04,0.783,
2002-07,0.799,
2002-10,0.243,
2003-01,0.363,
2003-04,0.220,
2003-07,0.242,
2003-10,0.203,
2004-01,0.167,
2004-04,0.143,
2004-07,0.200,
2004-10,0.165,
2005-01,0.144,
2005-04,0.171,
2005-07,0.181,
2005-10,0.135,
2006-01,0.153,
2006-04,0.198,
2006-07,0.211,
2006-10,0.186,
2007-01,0.178,
2007-04,0.175,
2007-07,0.163,
2007-10,0.152,
2008-01,0.152,
2008-04,0.209,
2008-07,0.154,
2008-10,0.117,
2009-01,0.118,
2009-04,0.114,
2009-07,0.122,
2009-10,0.064,
2010-01,0.109,
2010-04,0.081,
2010-07,0.094,
2010-10,0.083,
2011-01,0.126,
2011-04,0.113,
2011-07,0.154,
2011-10,0.112,
2012-01,0.146,
2012-04,0.129,
2012-07,0.184,
2012-10,0.110,
2013-01,0.172,
2013-04,0.178,
2013-07,0.167,
2013-10,0.166,
2014-01,0.182,
2014-04,0.178,
2014-07,0.192,
