"",BBDE1.M.DE.Y.AEB5.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2P310000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:19,
1991-01,49.9,
1991-02,49.2,
1991-03,48.7,
1991-04,50.4,
1991-05,48.3,
1991-06,47.8,
1991-07,49.2,
1991-08,49.0,
1991-09,48.3,
1991-10,50.9,
1991-11,49.6,
1991-12,50.9,
1992-01,49.5,
1992-02,47.7,
1992-03,50.2,
1992-04,47.9,
1992-05,48.1,
1992-06,48.1,
1992-07,46.5,
1992-08,45.9,
1992-09,44.8,
1992-10,43.8,
1992-11,46.7,
1992-12,43.8,
1993-01,44.6,
1993-02,46.4,
1993-03,44.4,
1993-04,46.2,
1993-05,45.4,
1993-06,47.2,
1993-07,47.9,
1993-08,46.5,
1993-09,45.7,
1993-10,46.9,
1993-11,47.1,
1993-12,49.9,
1994-01,50.0,
1994-02,52.4,
1994-03,53.2,
1994-04,52.0,
1994-05,53.0,
1994-06,52.9,
1994-07,52.8,
1994-08,52.5,
1994-09,56.7,
1994-10,55.7,
1994-11,58.0,
1994-12,60.4,
1995-01,56.2,
1995-02,57.3,
1995-03,55.9,
1995-04,54.6,
1995-05,54.2,
1995-06,54.0,
1995-07,54.0,
1995-08,51.7,
1995-09,54.1,
1995-10,51.6,
1995-11,49.8,
1995-12,53.2,
1996-01,54.4,
1996-02,54.1,
1996-03,55.5,
1996-04,54.1,
1996-05,54.7,
1996-06,54.5,
1996-07,55.5,
1996-08,57.3,
1996-09,58.6,
1996-10,58.5,
1996-11,58.4,
1996-12,57.6,
1997-01,60.8,
1997-02,62.6,
1997-03,62.4,
1997-04,62.4,
1997-05,61.7,
1997-06,64.0,
1997-07,64.4,
1997-08,66.1,
1997-09,66.9,
1997-10,67.0,
1997-11,65.2,
1997-12,65.7,
1998-01,65.6,
1998-02,63.3,
1998-03,63.3,
1998-04,63.3,
1998-05,62.0,
1998-06,63.7,
1998-07,61.2,
1998-08,60.9,
1998-09,62.1,
1998-10,58.1,
1998-11,59.5,
1998-12,59.3,
1999-01,61.5,
1999-02,60.6,
1999-03,62.6,
1999-04,61.1,
1999-05,63.8,
1999-06,63.4,
1999-07,67.7,
1999-08,69.5,
1999-09,69.3,
1999-10,69.9,
1999-11,71.2,
1999-12,75.3,
2000-01,67.9,
2000-02,73.2,
2000-03,78.1,
2000-04,74.2,
2000-05,76.1,
2000-06,79.9,
2000-07,78.0,
2000-08,85.2,
2000-09,81.5,
2000-10,78.5,
2000-11,76.8,
2000-12,78.4,
2001-01,73.9,
2001-02,72.7,
2001-03,71.1,
2001-04,69.9,
2001-05,76.5,
2001-06,74.3,
2001-07,70.8,
2001-08,72.6,
2001-09,67.3,
2001-10,69.3,
2001-11,68.2,
2001-12,73.1,
2002-01,70.2,
2002-02,75.1,
2002-03,74.6,
2002-04,76.3,
2002-05,76.8,
2002-06,76.3,
2002-07,73.9,
2002-08,73.4,
2002-09,75.3,
2002-10,72.8,
2002-11,77.0,
2002-12,74.1,
2003-01,77.3,
2003-02,74.3,
2003-03,75.9,
2003-04,74.3,
2003-05,71.9,
2003-06,74.2,
