"",BBK01.OEAA18T,BBK01.OEAA18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:24,
2002-01,1.173,
2002-04,1.179,
2002-07,1.253,
2002-10,1.184,
2003-01,1.263,
2003-04,1.224,
2003-07,1.261,
2003-10,1.174,
2004-01,1.144,
2004-04,1.133,
2004-07,1.085,
2004-10,1.026,
2005-01,1.010,
2005-04,0.924,
2005-07,0.926,
2005-10,0.891,
2006-01,0.904,
2006-04,0.881,
2006-07,0.885,
2006-10,0.797,
2007-01,0.804,
2007-04,0.833,
2007-07,0.845,
2007-10,0.857,
2008-01,0.907,
2008-04,0.900,
2008-07,0.899,
2008-10,0.832,
2009-01,1.223,
2009-04,0.812,
2009-07,0.818,
2009-10,0.831,
2010-01,0.894,
2010-04,0.944,
2010-07,0.824,
2010-10,0.737,
2011-01,0.753,
2011-04,0.794,
2011-07,0.781,
2011-10,0.775,
2012-01,0.760,
2012-04,0.863,
2012-07,0.898,
2012-10,0.880,
2013-01,0.866,
2013-04,1.040,
2013-07,0.996,
2013-10,0.867,
2014-01,0.853,
2014-04,0.790,
2014-07,0.889,
