"",BBSF2.M.1.S.I0003.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0003.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Supplementary pension funds for government employees and churches / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:24,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,6,
2009-10,7,
2009-11,8,
2009-12,8,
2010-01,8,
2010-02,8,
2010-03,9,
2010-04,10,
2010-05,9,
2010-06,13,
2010-07,14,
2010-08,16,
2010-09,15,
2010-10,16,
2010-11,16,
2010-12,17,
2011-01,18,
2011-02,18,
2011-03,18,
2011-04,18,
2011-05,18,
2011-06,18,
2011-07,17,
2011-08,16,
2011-09,16,
2011-10,16,
2011-11,16,
2011-12,16,
2012-01,16,
2012-02,16,
2012-03,16,
2012-04,18,
2012-05,18,
2012-06,18,
2012-07,18,
2012-08,18,
2012-09,21,
2012-10,22,
2012-11,22,
2012-12,22,
2013-01,22,
2013-02,22,
2013-03,22,
2013-04,22,
2013-05,22,
2013-06,21,
2013-07,20,
2013-08,21,
2013-09,21,
2013-10,22,
2013-11,23,
2013-12,24,
2014-01,24,
2014-02,24,
2014-03,23,
2014-04,22,
2014-05,22,
2014-06,22,
2014-07,23,
2014-08,60,
2014-09,62,
2014-10,62,
2014-11,62,
