"",BBDA1.M.DE.N.EX.S.A.R1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.R1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Belgo-Luxembourg Economic Union / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:05,
1990-07,1743537,
1990-08,1918277,
1990-09,1919064,
1990-10,2330686,
1990-11,2116984,
1990-12,2225017,
1991-01,2241128,
1991-02,2010735,
1991-03,2206148,
1991-04,2128928,
1991-05,2025625,
1991-06,2140704,
1991-07,1976342,
1991-08,1839736,
1991-09,2009398,
1991-10,2288670,
1991-11,2096170,
1991-12,1951883,
1992-01,2251641,
1992-02,2188484,
1992-03,2504964,
1992-04,2337744,
1992-05,1996221,
1992-06,2045662,
1992-07,1953169,
1992-08,1750628,
1992-09,2087397,
1992-10,2293165,
1992-11,2016823,
1992-12,1923257,
1993-01,1632365,
1993-02,1965850,
1993-03,2212242,
1993-04,2183890,
1993-05,1805796,
1993-06,1513805,
1993-07,1435086,
1993-08,1601283,
1993-09,1980785,
1993-10,1920749,
1993-11,1841105,
1993-12,1761956,
1994-01,1702374,
1994-02,1755341,
1994-03,2405744,
1994-04,1957241,
1994-05,1977157,
1994-06,2145692,
1994-07,1712588,
1994-08,2076018,
1994-09,2112274,
1994-10,2087881,
1994-11,1983208,
1994-12,2008432,
1995-01,2034517,
1995-02,2113094,
1995-03,2412704,
1995-04,2043024,
1995-05,2212176,
1995-06,2365646,
1995-07,1744463,
1995-08,1791566,
1995-09,2250235,
1995-10,2144833,
1995-11,2097679,
1995-12,1914435,
1996-01,2109404,
1996-02,2046107,
1996-03,2108786,
1996-04,2157784,
1996-05,2150225,
1996-06,2130426,
1996-07,1952315,
1996-08,1820497,
1996-09,2091517,
1996-10,2462671,
1996-11,2177376,
1996-12,2271597,
1997-01,2060485,
1997-02,2151393,
1997-03,2327058,
1997-04,2155454,
1997-05,2145683,
1997-06,2357198,
1997-07,2198309,
1997-08,1979863,
1997-09,2221132,
1997-10,2330465,
1997-11,2204893,
1997-12,2284485,
1998-01,2018823,
1998-02,2391562,
1998-03,2297725,
1998-04,2596157,
1998-05,2206477,
1998-06,2460690,
1998-07,2386900,
1998-08,1969991,
1998-09,2367677,
1998-10,2516496,
1998-11,2412115,
1998-12,2132529,
1999-01,2059228,
1999-02,2374940,
1999-03,2501893,
1999-04,2328266,
1999-05,2278457,
1999-06,2623483,
1999-07,2112247,
1999-08,2375538,
1999-09,2455260,
1999-10,2550271,
1999-11,2723893,
1999-12,2437831,
2000-01,2482586,
2000-02,2585848,
2000-03,3094101,
2000-04,2671151,
2000-05,2841058,
2000-06,2683158,
2000-07,2570009,
2000-08,2503671,
2000-09,2570780,
2000-10,2870137,
2000-11,3012322,
2000-12,2843384,
2001-01,2954629,
2001-02,3027184,
2001-03,3093206,
2001-04,3063805,
2001-05,3826558,
2001-06,2871753,
2001-07,2757785,
2001-08,2555498,
2001-09,2727476,
2001-10,2873700,
2001-11,2873918,
2001-12,2561475,
2002-01,2812079,
2002-02,2785088,
2002-03,2875852,
2002-04,3054688,
2002-05,2625845,
2002-06,3006876,
2002-07,2787863,
2002-08,2679452,
2002-09,2787515,
2002-10,3061595,
2002-11,3058468,
2002-12,2572296,
2003-01,3096475,
2003-02,3177624,
2003-03,3477870,
2003-04,3122928,
2003-05,2995487,
2003-06,3145710,
2003-07,2828335,
2003-08,2857455,
2003-09,3788800,
2003-10,3320171,
2003-11,3494998,
2003-12,3107505,
2004-01,3156659,
2004-02,3241732,
2004-03,4065593,
2004-04,3655630,
2004-05,3647451,
2004-06,3885058,
2004-07,3252592,
2004-08,3504701,
2004-09,3892753,
2004-10,3880036,
2004-11,4198551,
2004-12,3610781,
2005-01,3654900,
2005-02,3946819,
2005-03,4320724,
2005-04,4024112,
2005-05,3830865,
2005-06,4163623,
2005-07,3411618,
2005-08,3780589,
2005-09,4113402,
2005-10,4082169,
2005-11,4235976,
2005-12,3946919,
2006-01,3909490,
2006-02,4302194,
2006-03,4668423,
2006-04,4045097,
2006-05,4385426,
2006-06,4488852,
2006-07,3976357,
2006-08,4009891,
2006-09,4174840,
2006-10,4677046,
2006-11,4436388,
2006-12,4067076,
2007-01,4726387,
2007-02,4985595,
2007-03,5100423,
2007-04,4601580,
2007-05,4403613,
2007-06,4528659,
2007-07,4420560,
2007-08,4343785,
2007-09,4506387,
2007-10,4890507,
2007-11,4727881,
2007-12,4161571,
2008-01,4800719,
2008-02,4796581,
2008-03,4643579,
2008-04,4867971,
2008-05,4429776,
2008-06,4853102,
2008-07,4786164,
2008-08,4390839,
2008-09,4871085,
2008-10,4943592,
2008-11,4196758,
2008-12,3650049,
2009-01,3804921,
2009-02,3858930,
2009-03,4239290,
2009-04,3682429,
2009-05,3463543,
2009-06,3831288,
2009-07,3670339,
2009-08,3498030,
2009-09,4242644,
2009-10,4162070,
2009-11,3970933,
2009-12,3837252,
2010-01,3723898,
2010-02,4005868,
2010-03,4820286,
2010-04,4143913,
2010-05,4208356,
2010-06,4538453,
2010-07,3976779,
2010-08,4069984,
2010-09,4337321,
2010-10,4373088,
2010-11,4191032,
2010-12,4156149,
2011-01,4313658,
2011-02,4565026,
2011-03,5059645,
2011-04,4307635,
2011-05,4738315,
2011-06,4420415,
2011-07,3944419,
2011-08,4373795,
2011-09,4678764,
2011-10,4366758,
2011-11,4481191,
2011-12,3911812,
2012-01,4002110,
2012-02,4090807,
2012-03,4515321,
2012-04,3970833,
2012-05,4214508,
2012-06,4216057,
2012-07,3764146,
2012-08,3975051,
2012-09,4024966,
2012-10,4388634,
2012-11,4396846,
2012-12,3864645,
2013-01,4232500,
2013-02,4069179,
2013-03,4589335,
2013-04,4246454,
2013-05,3887289,
2013-06,3954583,
2013-07,3776302,
2013-08,3518279,
2013-09,4012403,
2013-10,4140570,
2013-11,3897840,
2013-12,3655075,
2014-01,4070490,
2014-02,3890904,
2014-03,4114164,
2014-04,4106551,
2014-05,3897011,
2014-06,3999772,
2014-07,3843198,
2014-08,3623558,
2014-09,4212152,
2014-10,4283512,
2014-11,3912247,
2014-12,3813848,
