"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F52._Z._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F52._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Investment fund shares/units - Liabilities - Positions - resident issuer: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:32,
1999-10,8041,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,18894,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,17095,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,18186,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,16948,
2004-01,17734,
2004-04,16222,
2004-07,15568,
2004-10,18674,
2005-01,18997,
2005-04,19234,
2005-07,22814,
2005-10,25572,
2006-01,30287,
2006-04,30940,
2006-07,32019,
2006-10,33535,
2007-01,34380,
2007-04,35562,
2007-07,37332,
2007-10,38587,
2008-01,36825,
2008-04,37803,
2008-07,35207,
2008-10,29660,
2009-01,91937,
2009-04,77701,
2009-07,81055,
2009-10,85211,
2010-01,92154,
2010-04,97091,
2010-07,97397,
2010-10,89774,
2011-01,110330,
2011-04,115122,
2011-07,116700,
2011-10,110311,
2012-01,113205,
2012-04,109284,
2012-07,122180,
2012-10,122784,
2013-01,119793,
2013-04,118988,
2013-07,120759,
2013-10,125595,
2014-01,128172,
2014-04,132157,
2014-07,130126,
