"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:02,
1991-01,18642.423,
1991-04,8922.972,
1991-07,12295.388,
1991-10,20186.954,
1992-01,9588.017,
1992-04,6914.612,
1992-07,46922.782,
1992-10,30001.283,
1993-01,48752.278,
1993-04,38603.821,
1993-07,28565.772,
1993-10,43518.583,
1994-01,12225.893,
1994-04,3864.353,
1994-07,20283.475,
1994-10,42072.459,
1995-01,27418.215,
1995-04,39308.680,
1995-07,29379.710,
1995-10,24553.707,
1996-01,26115.467,
1996-04,27401.070,
1996-07,16102.531,
1996-10,51917.826,
1997-01,75939.385,
1997-04,53285.277,
1997-07,25988.302,
1997-10,52007.641,
1998-01,97364.517,
1998-04,83300.673,
1998-07,48551.607,
1998-10,91058.203,
1999-01,86184.961,
1999-04,85356.963,
1999-07,77662.283,
1999-10,111656.257,
2000-01,180816.964,
2000-04,135874.545,
2000-07,87509.823,
2000-10,37842.045,
2001-01,169411.957,
2001-04,84766.871,
2001-07,53211.661,
2001-10,-2618.203,
2002-01,61362.322,
2002-04,85606.320,
2002-07,83189.476,
2002-10,-6776.750,
2003-01,111997.407,
2003-04,52424.076,
2003-07,10179.931,
2003-10,5823.854,
2004-01,87193.366,
2004-04,-47597.084,
2004-07,77071.509,
2004-10,21540.012,
2005-01,139306.012,
2005-04,60127.202,
2005-07,59399.065,
2005-10,31796.358,
2006-01,143567.038,
2006-04,28969.170,
2006-07,53859.015,
2006-10,83134.796,
2007-01,138288.089,
2007-04,158232.399,
2007-07,127536.655,
2007-10,37589.050,
2008-01,159063.824,
2008-04,15778.398,
2008-07,61584.602,
2008-10,-191727.811,
2009-01,-49603.512,
2009-04,23931.844,
2009-07,-41336.868,
2009-10,-34171.604,
2010-01,65142.348,
2010-04,97516.682,
2010-07,73850.795,
2010-10,69824.268,
2011-01,-5904.019,
2011-04,32207.136,
2011-07,158279.082,
2011-10,-82536.301,
2012-01,225574.881,
2012-04,70850.176,
2012-07,-25674.110,
2012-10,-95688.603,
2013-01,-11645.737,
2013-04,-4602.224,
2013-07,-79225.119,
2013-10,-111539.550,
2014-01,25766.104,Provisional value
2014-04,45396.730,Provisional value
2014-07,-4215.801,Provisional value
2014-10,-61121.015,Provisional value
