"",BBSF2.M.1.S.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Bonds funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:45,
2009-09,3282,
2009-10,3189,
2009-11,3209,
2009-12,3475,
2010-01,3425,
2010-02,3223,
2010-03,3469,
2010-04,3444,
2010-05,3177,
2010-06,3138,
2010-07,3366,
2010-08,3252,
2010-09,3441,
2010-10,3538,
2010-11,3339,
2010-12,3520,
2011-01,3631,
2011-02,3621,
2011-03,3539,
2011-04,3617,
2011-05,3502,
2011-06,3570,
2011-07,3364,
2011-08,2939,
2011-09,2668,
2011-10,2839,
2011-11,2840,
2011-12,2900,
2012-01,2954,
2012-02,3036,
2012-03,3029,
2012-04,2845,
2012-05,2659,
2012-06,2840,
2012-07,2897,
2012-08,3017,
2012-09,2979,
2012-10,3033,
2012-11,3136,
2012-12,3283,
2013-01,3387,
2013-02,3300,
2013-03,3282,
2013-04,3544,
2013-05,3669,
2013-06,3428,
2013-07,3699,
2013-08,3698,
2013-09,4018,
2013-10,4278,
2013-11,4253,
2013-12,4525,
2014-01,4299,
2014-02,4482,
2014-03,4639,
2014-04,4549,
2014-05,4675,
2014-06,4703,
2014-07,4417,
2014-08,4601,
2014-09,4628,
2014-10,4451,
2014-11,4185,
