"",BBK01.OEAD02J,BBK01.OEAD02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:15,
2002-01,0.043,
2002-04,0.051,
2002-07,0.056,
2002-10,0.056,
2003-01,0.064,
2003-04,0.071,
2003-07,0.077,
2003-10,0.065,
2004-01,0.053,
2004-04,0.059,
2004-07,0.057,
2004-10,0.053,
2005-01,0.050,
2005-04,0.046,
2005-07,0.047,
2005-10,0.060,
2006-01,0.058,
2006-04,0.062,
2006-07,0.073,
2006-10,0.072,
2007-01,0.073,
2007-04,0.075,
2007-07,0.075,
2007-10,0.075,
2008-01,0.074,
2008-04,0.076,
2008-07,0.079,
2008-10,0.094,
2009-01,0.100,
2009-04,0.104,
2009-07,0.108,
2009-10,0.114,
2010-01,0.091,
2010-04,0.111,
2010-07,0.113,
2010-10,0.108,
2011-01,0.111,
2011-04,0.110,
2011-07,0.121,
2011-10,0.117,
2012-01,0.125,
2012-04,0.114,
2012-07,0.104,
2012-10,0.097,
2013-01,0.094,
2013-04,0.093,
2013-07,0.089,
2013-10,0.084,
2014-01,0.080,
2014-04,0.085,
2014-07,0.098,
