"",BBSF2.M.1.T.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:21,
2009-09,3,
2009-10,8,
2009-11,16,
2009-12,1,
2010-01,4,
2010-02,5,
2010-03,4,
2010-04,11,
2010-05,9,
2010-06,3,
2010-07,12,
2010-08,6,
2010-09,791,
2010-10,25,
2010-11,24,
2010-12,28,
2011-01,31,
2011-02,25,
2011-03,69,
2011-04,28,
2011-05,20,
2011-06,33,
2011-07,33,
2011-08,16,
2011-09,15,
2011-10,29,
2011-11,8,
2011-12,18,
2012-01,43,
2012-02,37,
2012-03,30,
2012-04,68,
2012-05,26,
2012-06,23,
2012-07,328,
2012-08,23,
2012-09,25,
2012-10,66,
2012-11,31,
2012-12,66,
2013-01,29,
2013-02,6,
2013-03,6,
2013-04,42,
2013-05,12,
2013-06,14,
2013-07,8,
2013-08,49,
2013-09,16,
2013-10,25,
2013-11,5,
2013-12,1,
2014-01,18,
2014-02,13,
2014-03,25,
2014-04,21,
2014-05,31,
2014-06,16,
2014-07,4,
2014-08,8,
2014-09,11,
2014-10,10,
2014-11,30,
