"",BBK01.OECK03Q,BBK01.OECK03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:54,
2002-01,0.097,
2002-04,0.105,
2002-07,0.105,
2002-10,0.105,
2003-01,0.086,
2003-04,0.081,
2003-07,0.072,
2003-10,0.069,
2004-01,0.058,
2004-04,0.054,
2004-07,0.053,
2004-10,0.157,
2005-01,0.152,
2005-04,0.122,
2005-07,0.110,
2005-10,0.110,
2006-01,0.138,
2006-04,0.153,
2006-07,0.180,
2006-10,0.199,
2007-01,0.219,
2007-04,0.224,
2007-07,0.264,
2007-10,0.296,
2008-01,0.322,
2008-04,0.339,
2008-07,0.359,
2008-10,0.319,
2009-01,0.196,
2009-04,0.189,
2009-07,0.199,
2009-10,0.148,
2010-01,0.111,
2010-04,0.103,
2010-07,0.087,
2010-10,0.157,
2011-01,0.147,
2011-04,0.146,
2011-07,0.097,
2011-10,0.074,
2012-01,0.081,
2012-04,0.069,
2012-07,0.060,
2012-10,0.051,
2013-01,0.047,
2013-04,0.044,
2013-07,0.049,
2013-10,0.042,
2014-01,0.043,
2014-04,0.042,
2014-07,0.045,
