"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA._Z.F._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Not applicable,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:27,
1991-01,8197.136,
1991-02,4416.954,
1991-03,7981.830,
1991-04,6587.053,
1991-05,2144.925,
1991-06,4324.107,
1991-07,2253.574,
1991-08,-1703.345,
1991-09,2055.039,
1991-10,9281.980,
1991-11,2592.841,
1991-12,-7847.683,
1992-01,5769.546,
1992-02,3746.539,
1992-03,-2420.108,
1992-04,4233.423,
1992-05,1790.107,
1992-06,2275.496,
1992-07,2281.494,
1992-08,-1016.770,
1992-09,-2873.045,
1992-10,16906.562,
1992-11,5362.549,
1992-12,7480.268,
1993-01,14148.712,
1993-02,12218.243,
1993-03,5539.138,
1993-04,9007.248,
1993-05,1599.159,
1993-06,1708.172,
1993-07,5276.085,
1993-08,1242.211,
1993-09,4257.430,
1993-10,12290.811,
1993-11,-1144.753,
1993-12,-13352.789,
1994-01,10005.071,
1994-02,1414.460,
1994-03,8493.006,
1994-04,4647.935,
1994-05,3179.474,
1994-06,-2202.623,
1994-07,5111.334,
1994-08,4394.213,
1994-09,3691.678,
1994-10,11992.151,
1994-11,3987.694,
1994-12,4546.251,
1995-01,10849.544,
1995-02,2174.421,
1995-03,3159.552,
1995-04,7600.948,
1995-05,6319.359,
1995-06,-1684.440,
1995-07,2482.346,
1995-08,-2747.279,
1995-09,1596.708,
1995-10,3123.427,
1995-11,2953.981,
1995-12,-4740.939,
1996-01,10364.943,
1996-02,5572.674,
1996-03,3997.630,
1996-04,11177.557,
1996-05,6482.026,
1996-06,-7913.370,
1996-07,3795.752,
1996-08,-2357.546,
1996-09,3140.331,
1996-10,7357.606,
1996-11,13121.016,
1996-12,2579.688,
1997-01,28032.795,
1997-02,16701.355,
1997-03,2844.558,
1997-04,14317.357,
