"",BBK01.WXI097,BBK01.WXI097_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:47,
2009-09,8135,
2009-10,8170,
2009-11,8186,
2009-12,8351,
2010-01,8304,
2010-02,8405,
2010-03,6927,
2010-04,8439,
2010-05,9346,
2010-06,8452,
2010-07,9078,
2010-08,9291,
2010-09,9560,
2010-10,10136,
2010-11,10199,
2010-12,11115,
2011-01,11696,
2011-02,12245,
2011-03,11950,
2011-04,11843,
2011-05,11736,
2011-06,11467,
2011-07,11299,
2011-08,9343,
2011-09,9232,
2011-10,9725,
2011-11,9644,
2011-12,9672,
2012-01,10455,
2012-02,10875,
2012-03,10954,
2012-04,10839,
2012-05,9930,
2012-06,10163,
2012-07,10433,
2012-08,10769,
2012-09,11187,
2012-10,12076,
2012-11,12668,
2012-12,13125,
2013-01,14360,
2013-02,15176,
2013-03,15735,
2013-04,16183,
2013-05,15772,
2013-06,15773,
2013-07,16729,
2013-08,16127,
2013-09,16732,
2013-10,18411,
2013-11,18828,
2013-12,18584,
2014-01,18201,
2014-02,18566,
2014-03,18434,
2014-04,18513,
2014-05,19227,
2014-06,20782,
2014-07,20697,
2014-08,21381,
2014-09,21919,
2014-10,24654,
2014-11,25382,
