"",BBK01.OEXL04H,BBK01.OEXL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:06,
2002-01,2.170,
2002-04,2.058,
2002-07,2.052,
2002-10,1.911,
2003-01,1.750,
2003-04,1.650,
2003-07,1.590,
2003-10,1.520,
2004-01,1.375,
2004-04,1.179,
2004-07,1.243,
2004-10,1.103,
2005-01,1.073,
2005-04,1.078,
2005-07,1.102,
2005-10,1.257,
2006-01,1.202,
2006-04,1.255,
2006-07,1.526,
2006-10,2.094,
2007-01,2.352,
2007-04,2.517,
2007-07,3.193,
2007-10,3.641,
2008-01,4.119,
2008-04,4.337,
2008-07,4.848,
2008-10,6.159,
2009-01,6.442,
2009-04,5.748,
2009-07,4.633,
2009-10,3.246,
2010-01,2.143,
2010-04,2.237,
2010-07,2.047,
2010-10,1.937,
2011-01,1.789,
2011-04,1.789,
2011-07,1.770,
2011-10,1.846,
2012-01,1.978,
2012-04,1.990,
2012-07,1.860,
2012-10,1.828,
2013-01,1.815,
2013-04,2.077,
2013-07,2.149,
2013-10,2.300,
2014-01,2.326,
2014-04,2.302,
2014-07,2.324,
