"",BBK01.CEL20I,BBK01.CEL20I_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:16,
1999-01,4.7,
1999-04,2.2,
1999-07,-7.4,
1999-10,11.2,
2000-01,-9.3,
2000-04,-18.8,
2000-07,-17.0,
2000-10,14.0,
2001-01,11.0,
2001-04,10.4,
2001-07,5.6,
2001-10,4.7,
2002-01,10.5,
2002-04,13.4,
2002-07,9.1,
2002-10,31.1,
2003-01,23.0,
2003-04,10.0,
2003-07,7.9,
2003-10,10.5,
2004-01,16.2,
2004-04,9.8,
2004-07,6.1,
2004-10,22.5,
2005-01,9.7,
2005-04,9.8,
2005-07,0.7,
2005-10,16.8,
2006-01,9.0,
2006-04,8.9,
2006-07,-3.6,
2006-10,15.2,
2007-01,8.3,
2007-04,15.5,
2007-07,10.0,
2007-10,32.0,
2008-01,3.2,
2008-04,9.6,
2008-07,7.1,
2008-10,77.3,
2009-01,8.7,
2009-04,12.0,
2009-07,2.6,
2009-10,21.1,
2010-01,14.6,
2010-04,17.4,
2010-07,2.6,
2010-10,32.1,
2011-01,6.7,
2011-04,14.8,
2011-07,11.1,
2011-10,26.1,
2012-01,19.4,
2012-04,20.4,
2012-07,16.2,
2012-10,20.7,
2013-01,11.2,
2013-04,18.1,
2013-07,9.8,
2013-10,27.0,
2014-01,15.3,
2014-04,21.1,
2014-07,17.5,
