"",BBK01.OEAB22S,BBK01.OEAB22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:36,
2002-01,0.346,
2002-04,0.341,
2002-07,0.401,
2002-10,0.405,
2003-01,0.247,
2003-04,0.257,
2003-07,0.278,
2003-10,0.368,
2004-01,0.247,
2004-04,0.271,
2004-07,0.294,
2004-10,0.413,
2005-01,0.433,
2005-04,0.285,
2005-07,0.346,
2005-10,0.320,
2006-01,0.373,
2006-04,0.395,
2006-07,0.412,
2006-10,0.380,
2007-01,0.502,
2007-04,0.487,
2007-07,0.372,
2007-10,0.437,
2008-01,0.458,
2008-04,0.396,
2008-07,0.347,
2008-10,0.350,
2009-01,0.306,
2009-04,0.317,
2009-07,0.288,
2009-10,0.293,
2010-01,0.335,
2010-04,0.288,
2010-07,0.302,
2010-10,0.411,
2011-01,0.401,
2011-04,0.340,
2011-07,0.336,
2011-10,0.399,
2012-01,0.398,
2012-04,0.331,
2012-07,0.306,
2012-10,0.283,
2013-01,0.296,
2013-04,0.318,
2013-07,0.279,
2013-10,0.361,
2014-01,0.350,
2014-04,0.390,
2014-07,0.396,
