"",BBDE1.M.DE.Y.GUB1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.GUB1.A2P310000.F.V.I10.A_FLAGS
"",Turnover from the domestic market / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:50,
1991-01,84.5,
1991-02,82.8,
1991-03,84.2,
1991-04,83.0,
1991-05,82.4,
1991-06,84.3,
1991-07,82.3,
1991-08,81.2,
1991-09,80.8,
1991-10,82.1,
1991-11,83.0,
1991-12,81.4,
1992-01,85.2,
1992-02,85.5,
1992-03,83.9,
1992-04,83.1,
1992-05,82.8,
1992-06,81.5,
1992-07,80.4,
1992-08,80.6,
1992-09,79.6,
1992-10,79.4,
1992-11,78.3,
1992-12,79.8,
1993-01,78.4,
1993-02,76.2,
1993-03,75.9,
1993-04,76.2,
1993-05,74.8,
1993-06,74.8,
1993-07,73.7,
1993-08,74.9,
1993-09,75.6,
1993-10,75.8,
1993-11,75.0,
1993-12,75.2,
1994-01,78.1,
1994-02,77.0,
1994-03,77.9,
1994-04,78.7,
1994-05,78.8,
1994-06,78.5,
1994-07,78.7,
1994-08,80.8,
1994-09,82.6,
1994-10,83.2,
1994-11,84.9,
1994-12,87.4,
1995-01,84.7,
1995-02,87.0,
1995-03,85.9,
1995-04,85.1,
1995-05,86.4,
1995-06,85.6,
1995-07,84.7,
1995-08,83.6,
1995-09,84.0,
1995-10,81.6,
1995-11,81.2,
1995-12,80.1,
1996-01,78.1,
1996-02,74.6,
1996-03,76.8,
1996-04,78.5,
1996-05,78.9,
1996-06,78.7,
1996-07,77.8,
1996-08,78.8,
1996-09,79.0,
1996-10,78.2,
1996-11,78.6,
1996-12,78.2,
1997-01,75.8,
1997-02,78.3,
1997-03,79.5,
1997-04,79.4,
1997-05,78.8,
1997-06,80.4,
1997-07,81.7,
1997-08,79.6,
1997-09,80.7,
1997-10,81.6,
1997-11,82.3,
1997-12,83.4,
1998-01,82.6,
1998-02,82.7,
1998-03,83.8,
1998-04,82.6,
1998-05,82.5,
1998-06,82.1,
1998-07,82.4,
1998-08,81.1,
1998-09,80.3,
1998-10,80.2,
1998-11,78.4,
1998-12,77.8,
1999-01,81.4,
1999-02,77.1,
1999-03,78.9,
1999-04,79.2,
1999-05,78.5,
1999-06,79.8,
1999-07,80.8,
1999-08,81.2,
1999-09,81.3,
1999-10,82.7,
1999-11,83.0,
1999-12,85.2,
2000-01,83.4,
2000-02,85.3,
2000-03,85.2,
2000-04,86.0,
2000-05,87.5,
2000-06,86.5,
2000-07,87.6,
2000-08,88.8,
2000-09,88.2,
2000-10,88.1,
2000-11,88.7,
2000-12,90.1,
2001-01,88.8,
2001-02,89.9,
2001-03,88.1,
2001-04,86.3,
2001-05,87.5,
2001-06,86.9,
2001-07,84.8,
2001-08,86.6,
2001-09,85.5,
2001-10,84.0,
2001-11,82.0,
2001-12,82.4,
2002-01,81.6,
2002-02,83.3,
2002-03,82.8,
2002-04,82.7,
2002-05,82.1,
2002-06,82.5,
2002-07,81.8,
2002-08,84.1,
2002-09,84.2,
2002-10,82.1,
2002-11,83.3,
2002-12,82.3,
2003-01,81.5,
2003-02,81.3,
2003-03,82.6,
2003-04,82.5,
2003-05,82.4,
2003-06,81.1,
2003-07,82.4,
2003-08,80.7,
2003-09,81.1,
2003-10,82.9,
2003-11,82.9,
2003-12,83.6,
2004-01,83.1,
2004-02,83.6,
2004-03,84.1,
2004-04,85.5,
2004-05,84.8,
2004-06,85.8,
2004-07,86.7,
2004-08,86.3,
2004-09,86.2,
2004-10,86.2,
2004-11,86.3,
2004-12,88.1,
2005-01,90.2,
2005-02,87.2,
2005-03,86.9,
2005-04,87.4,
2005-05,86.8,
2005-06,87.4,
2005-07,89.4,
2005-08,87.2,
2005-09,88.8,
2005-10,91.4,
2005-11,91.0,
2005-12,91.8,
2006-01,92.8,
2006-02,93.2,
2006-03,91.9,
2006-04,94.8,
2006-05,96.8,
2006-06,98.1,
2006-07,98.8,
2006-08,100.0,
2006-09,101.2,
2006-10,101.5,
2006-11,103.7,
2006-12,106.1,
2007-01,105.9,
2007-02,105.7,
2007-03,106.1,
2007-04,105.8,
2007-05,106.6,
2007-06,105.9,
2007-07,107.0,
2007-08,107.1,
2007-09,108.1,
2007-10,107.0,
2007-11,108.0,
2007-12,109.8,
2008-01,112.6,
2008-02,113.2,
2008-03,112.4,
2008-04,111.8,
2008-05,111.4,
2008-06,112.9,
2008-07,110.1,
2008-08,113.5,
2008-09,111.9,
2008-10,106.5,
2008-11,99.9,
2008-12,93.8,
2009-01,85.2,
2009-02,81.3,
2009-03,79.7,
2009-04,79.1,
2009-05,80.4,
2009-06,83.1,
2009-07,82.9,
2009-08,85.3,
2009-09,87.3,
2009-10,88.7,
2009-11,89.7,
2009-12,88.2,
2010-01,89.1,
2010-02,89.2,
2010-03,93.4,
2010-04,97.7,
2010-05,99.6,
2010-06,101.3,
2010-07,99.9,
2010-08,102.2,
2010-09,103.9,
2010-10,105.7,
2010-11,106.0,
2010-12,105.6,
2011-01,108.2,
2011-02,112.0,
2011-03,112.5,
2011-04,113.7,
2011-05,114.9,
2011-06,113.8,
2011-07,116.3,
2011-08,114.1,
2011-09,112.9,
2011-10,112.8,
2011-11,111.3,
2011-12,111.5,
2012-01,110.9,
2012-02,108.9,
